PAC,NAME,省代码,省,市代码,市,类型
"310101",黄浦区,"310000",上海市,"310000",上海市,市辖区
"310104",徐汇区,"310000",上海市,"310000",上海市,市辖区
"310105",长宁区,"310000",上海市,"310000",上海市,市辖区
"310106",静安区,"310000",上海市,"310000",上海市,市辖区
"310107",普陀区,"310000",上海市,"310000",上海市,市辖区
"310109",虹口区,"310000",上海市,"310000",上海市,市辖区
"310110",杨浦区,"310000",上海市,"310000",上海市,市辖区
"310112",闵行区,"310000",上海市,"310000",上海市,市辖区
"310113",宝山区,"310000",上海市,"310000",上海市,市辖区
"310114",嘉定区,"310000",上海市,"310000",上海市,市辖区
"310115",浦东新区,"310000",上海市,"310000",上海市,市辖区
"310116",金山区,"310000",上海市,"310000",上海市,市辖区
"310117",松江区,"310000",上海市,"310000",上海市,市辖区
"310118",青浦区,"310000",上海市,"310000",上海市,市辖区
"310120",奉贤区,"310000",上海市,"310000",上海市,市辖区
"310151",崇明区,"310000",上海市,"310000",上海市,市辖区
"320102",玄武区,"320000",江苏省,"320100",南京市,市辖区
"320104",秦淮区,"320000",江苏省,"320100",南京市,市辖区
"320105",建邺区,"320000",江苏省,"320100",南京市,市辖区
"320106",鼓楼区,"320000",江苏省,"320100",南京市,市辖区
"320111",浦口区,"320000",江苏省,"320100",南京市,市辖区
"320113",栖霞区,"320000",江苏省,"320100",南京市,市辖区
"320114",雨花台区,"320000",江苏省,"320100",南京市,市辖区
"320115",江宁区,"320000",江苏省,"320100",南京市,市辖区
"320116",六合区,"320000",江苏省,"320100",南京市,市辖区
"320117",溧水区,"320000",江苏省,"320100",南京市,市辖区
"320118",高淳区,"320000",江苏省,"320100",南京市,市辖区
"320205",锡山区,"320000",江苏省,"320200",无锡市,市辖区
"320206",惠山区,"320000",江苏省,"320200",无锡市,市辖区
"320211",滨湖区,"320000",江苏省,"320200",无锡市,市辖区
"320213",梁溪区,"320000",江苏省,"320200",无锡市,市辖区
"320214",新吴区,"320000",江苏省,"320200",无锡市,市辖区
"320281",江阴市,"320000",江苏省,"320200",无锡市,县级市
"320282",宜兴市,"320000",江苏省,"320200",无锡市,县级市
"320402",天宁区,"320000",江苏省,"320400",常州市,市辖区
"320404",钟楼区,"320000",江苏省,"320400",常州市,市辖区
"320411",新北区,"320000",江苏省,"320400",常州市,市辖区
"320412",武进区,"320000",江苏省,"320400",常州市,市辖区
"320413",金坛区,"320000",江苏省,"320400",常州市,市辖区
"320481",溧阳市,"320000",江苏省,"320400",常州市,县级市
"320505",虎丘区,"320000",江苏省,"320500",苏州市,市辖区
"320506",吴中区,"320000",江苏省,"320500",苏州市,市辖区
"320507",相城区,"320000",江苏省,"320500",苏州市,市辖区
"320508",姑苏区,"320000",江苏省,"320500",苏州市,市辖区
"320509",吴江区,"320000",江苏省,"320500",苏州市,市辖区
"320581",常熟市,"320000",江苏省,"320500",苏州市,县级市
"320582",张家港市,"320000",江苏省,"320500",苏州市,县级市
"320583",昆山市,"320000",江苏省,"320500",苏州市,县级市
"320585",太仓市,"320000",江苏省,"320500",苏州市,县级市
"320602",崇川区,"320000",江苏省,"320600",南通市,市辖区
"320611",港闸区,"320000",江苏省,"320600",南通市,市辖区
"320612",通州区,"320000",江苏省,"320600",南通市,市辖区
"320623",如东县,"320000",江苏省,"320600",南通市,县
"320681",启东市,"320000",江苏省,"320600",南通市,县级市
"320682",如皋市,"320000",江苏省,"320600",南通市,县级市
"320684",海门市,"320000",江苏省,"320600",南通市,县级市
"320685",海安市,"320000",江苏省,"320600",南通市,县级市
"321002",广陵区,"320000",江苏省,"321000",扬州市,市辖区
"321003",邗江区,"320000",江苏省,"321000",扬州市,市辖区
"321012",江都区,"320000",江苏省,"321000",扬州市,市辖区
"321023",宝应县,"320000",江苏省,"321000",扬州市,县
"321081",仪征市,"320000",江苏省,"321000",扬州市,县级市
"321084",高邮市,"320000",江苏省,"321000",扬州市,县级市
"321102",京口区,"320000",江苏省,"321100",镇江市,市辖区
"321111",润州区,"320000",江苏省,"321100",镇江市,市辖区
"321112",丹徒区,"320000",江苏省,"321100",镇江市,市辖区
"321181",丹阳市,"320000",江苏省,"321100",镇江市,县级市
"321182",扬中市,"320000",江苏省,"321100",镇江市,县级市
"321183",句容市,"320000",江苏省,"321100",镇江市,县级市
"321202",海陵区,"320000",江苏省,"321200",泰州市,市辖区
"321203",高港区,"320000",江苏省,"321200",泰州市,市辖区
"321204",姜堰区,"320000",江苏省,"321200",泰州市,市辖区
"321281",兴化市,"320000",江苏省,"321200",泰州市,县级市
"321282",靖江市,"320000",江苏省,"321200",泰州市,县级市
"321283",泰兴市,"320000",江苏省,"321200",泰州市,县级市
