count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
"117476",黄浦区,上海市,上海市,黄浦区,上海市,上海市
"6313",徐汇区,上海市,上海市,黄浦区,上海市,上海市
"4726",长宁区,上海市,上海市,黄浦区,上海市,上海市
"8035",静安区,上海市,上海市,黄浦区,上海市,上海市
"6908",普陀区,上海市,上海市,黄浦区,上海市,上海市
"3747",虹口区,上海市,上海市,黄浦区,上海市,上海市
"4459",杨浦区,上海市,上海市,黄浦区,上海市,上海市
"9952",闵行区,上海市,上海市,黄浦区,上海市,上海市
"6435",宝山区,上海市,上海市,黄浦区,上海市,上海市
"3164",嘉定区,上海市,上海市,黄浦区,上海市,上海市
"30677",浦东新区,上海市,上海市,黄浦区,上海市,上海市
"152",金山区,上海市,上海市,黄浦区,上海市,上海市
"3064",松江区,上海市,上海市,黄浦区,上海市,上海市
"1357",青浦区,上海市,上海市,黄浦区,上海市,上海市
"439",奉贤区,上海市,上海市,黄浦区,上海市,上海市
"125",崇明区,上海市,上海市,黄浦区,上海市,上海市
"11",玄武区,南京市,江苏省,黄浦区,上海市,上海市
"26",秦淮区,南京市,江苏省,黄浦区,上海市,上海市
"17",建邺区,南京市,江苏省,黄浦区,上海市,上海市
"36",鼓楼区,南京市,江苏省,黄浦区,上海市,上海市
"11",浦口区,南京市,江苏省,黄浦区,上海市,上海市
"4",栖霞区,南京市,江苏省,黄浦区,上海市,上海市
"13",雨花台区,南京市,江苏省,黄浦区,上海市,上海市
"32",江宁区,南京市,江苏省,黄浦区,上海市,上海市
"2",六合区,南京市,江苏省,黄浦区,上海市,上海市
"1",溧水区,南京市,江苏省,黄浦区,上海市,上海市
"1",高淳区,南京市,江苏省,黄浦区,上海市,上海市
"12",锡山区,无锡市,江苏省,黄浦区,上海市,上海市
"7",惠山区,无锡市,江苏省,黄浦区,上海市,上海市
"43",滨湖区,无锡市,江苏省,黄浦区,上海市,上海市
"31",梁溪区,无锡市,江苏省,黄浦区,上海市,上海市
"16",新吴区,无锡市,江苏省,黄浦区,上海市,上海市
"8",江阴市,无锡市,江苏省,黄浦区,上海市,上海市
"14",宜兴市,无锡市,江苏省,黄浦区,上海市,上海市
"9",天宁区,常州市,江苏省,黄浦区,上海市,上海市
"7",钟楼区,常州市,江苏省,黄浦区,上海市,上海市
"10",新北区,常州市,江苏省,黄浦区,上海市,上海市
"13",武进区,常州市,江苏省,黄浦区,上海市,上海市
"4",金坛区,常州市,江苏省,黄浦区,上海市,上海市
"4",溧阳市,常州市,江苏省,黄浦区,上海市,上海市
"52",虎丘区,苏州市,江苏省,黄浦区,上海市,上海市
"50",吴中区,苏州市,江苏省,黄浦区,上海市,上海市
"19",相城区,苏州市,江苏省,黄浦区,上海市,上海市
"202",姑苏区,苏州市,江苏省,黄浦区,上海市,上海市
"28",吴江区,苏州市,江苏省,黄浦区,上海市,上海市
"28",常熟市,苏州市,江苏省,黄浦区,上海市,上海市
"15",张家港市,苏州市,江苏省,黄浦区,上海市,上海市
"222",昆山市,苏州市,江苏省,黄浦区,上海市,上海市
"25",太仓市,苏州市,江苏省,黄浦区,上海市,上海市
"24",崇川区,南通市,江苏省,黄浦区,上海市,上海市
"4",港闸区,南通市,江苏省,黄浦区,上海市,上海市
"11",通州区,南通市,江苏省,黄浦区,上海市,上海市
"4",如东县,南通市,江苏省,黄浦区,上海市,上海市
"35",启东市,南通市,江苏省,黄浦区,上海市,上海市
"6",如皋市,南通市,江苏省,黄浦区,上海市,上海市
"10",海门市,南通市,江苏省,黄浦区,上海市,上海市
"7",海安市,南通市,江苏省,黄浦区,上海市,上海市
"7",广陵区,扬州市,江苏省,黄浦区,上海市,上海市
"11",邗江区,扬州市,江苏省,黄浦区,上海市,上海市
"3",江都区,扬州市,江苏省,黄浦区,上海市,上海市
"2",宝应县,扬州市,江苏省,黄浦区,上海市,上海市
"2",仪征市,扬州市,江苏省,黄浦区,上海市,上海市
"4",高邮市,扬州市,江苏省,黄浦区,上海市,上海市
"3",京口区,镇江市,江苏省,黄浦区,上海市,上海市
