count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
"52156",徐汇区,上海市,上海市,黄浦区,上海市,上海市
"24677",长宁区,上海市,上海市,黄浦区,上海市,上海市
"60636",静安区,上海市,上海市,黄浦区,上海市,上海市
"20397",普陀区,上海市,上海市,黄浦区,上海市,上海市
"13052",虹口区,上海市,上海市,黄浦区,上海市,上海市
"12225",杨浦区,上海市,上海市,黄浦区,上海市,上海市
"31062",闵行区,上海市,上海市,黄浦区,上海市,上海市
"11310",宝山区,上海市,上海市,黄浦区,上海市,上海市
"6828",嘉定区,上海市,上海市,黄浦区,上海市,上海市
"103674",浦东新区,上海市,上海市,黄浦区,上海市,上海市
"739",金山区,上海市,上海市,黄浦区,上海市,上海市
"9237",松江区,上海市,上海市,黄浦区,上海市,上海市
"5095",青浦区,上海市,上海市,黄浦区,上海市,上海市
"1941",奉贤区,上海市,上海市,黄浦区,上海市,上海市
"703",崇明区,上海市,上海市,黄浦区,上海市,上海市
"53",玄武区,南京市,江苏省,黄浦区,上海市,上海市
"34",秦淮区,南京市,江苏省,黄浦区,上海市,上海市
"8",建邺区,南京市,江苏省,黄浦区,上海市,上海市
"71",鼓楼区,南京市,江苏省,黄浦区,上海市,上海市
"30",浦口区,南京市,江苏省,黄浦区,上海市,上海市
"31",栖霞区,南京市,江苏省,黄浦区,上海市,上海市
"135",雨花台区,南京市,江苏省,黄浦区,上海市,上海市
"62",江宁区,南京市,江苏省,黄浦区,上海市,上海市
"3",六合区,南京市,江苏省,黄浦区,上海市,上海市
"3",溧水区,南京市,江苏省,黄浦区,上海市,上海市
"1",高淳区,南京市,江苏省,黄浦区,上海市,上海市
"70",锡山区,无锡市,江苏省,黄浦区,上海市,上海市
"42",惠山区,无锡市,江苏省,黄浦区,上海市,上海市
"86",滨湖区,无锡市,江苏省,黄浦区,上海市,上海市
"160",梁溪区,无锡市,江苏省,黄浦区,上海市,上海市
"95",新吴区,无锡市,江苏省,黄浦区,上海市,上海市
"44",江阴市,无锡市,江苏省,黄浦区,上海市,上海市
"22",宜兴市,无锡市,江苏省,黄浦区,上海市,上海市
"62",天宁区,常州市,江苏省,黄浦区,上海市,上海市
"38",钟楼区,常州市,江苏省,黄浦区,上海市,上海市
"48",新北区,常州市,江苏省,黄浦区,上海市,上海市
"35",武进区,常州市,江苏省,黄浦区,上海市,上海市
"2",金坛区,常州市,江苏省,黄浦区,上海市,上海市
"8",溧阳市,常州市,江苏省,黄浦区,上海市,上海市
"175",虎丘区,苏州市,江苏省,黄浦区,上海市,上海市
"235",吴中区,苏州市,江苏省,黄浦区,上海市,上海市
"189",相城区,苏州市,江苏省,黄浦区,上海市,上海市
"954",姑苏区,苏州市,江苏省,黄浦区,上海市,上海市
"175",吴江区,苏州市,江苏省,黄浦区,上海市,上海市
"120",常熟市,苏州市,江苏省,黄浦区,上海市,上海市
"39",张家港市,苏州市,江苏省,黄浦区,上海市,上海市
"2278",昆山市,苏州市,江苏省,黄浦区,上海市,上海市
"395",太仓市,苏州市,江苏省,黄浦区,上海市,上海市
"150",崇川区,南通市,江苏省,黄浦区,上海市,上海市
"5",港闸区,南通市,江苏省,黄浦区,上海市,上海市
"34",通州区,南通市,江苏省,黄浦区,上海市,上海市
"7",如东县,南通市,江苏省,黄浦区,上海市,上海市
"75",启东市,南通市,江苏省,黄浦区,上海市,上海市
"13",如皋市,南通市,江苏省,黄浦区,上海市,上海市
"42",海门市,南通市,江苏省,黄浦区,上海市,上海市
"16",海安市,南通市,江苏省,黄浦区,上海市,上海市
"7",广陵区,扬州市,江苏省,黄浦区,上海市,上海市
"15",邗江区,扬州市,江苏省,黄浦区,上海市,上海市
"6",江都区,扬州市,江苏省,黄浦区,上海市,上海市
"4",宝应县,扬州市,江苏省,黄浦区,上海市,上海市
"1",仪征市,扬州市,江苏省,黄浦区,上海市,上海市
"3",高邮市,扬州市,江苏省,黄浦区,上海市,上海市
"8",京口区,镇江市,江苏省,黄浦区,上海市,上海市
"52",润州区,镇江市,江苏省,黄浦区,上海市,上海市
"14",丹徒区,镇江市,江苏省,黄浦区,上海市,上海市
"31",丹阳市,镇江市,江苏省,黄浦区,上海市,上海市
"3",扬中市,镇江市,江苏省,黄浦区,上海市,上海市
"18",句容市,镇江市,江苏省,黄浦区,上海市,上海市
"8",海陵区,泰州市,江苏省,黄浦区,上海市,上海市
"4",高港区,泰州市,江苏省,黄浦区,上海市,上海市
"4",姜堰区,泰州市,江苏省,黄浦区,上海市,上海市
"8",兴化市,泰州市,江苏省,黄浦区,上海市,上海市
"11",靖江市,泰州市,江苏省,黄浦区,上海市,上海市
"7",泰兴市,泰州市,江苏省,黄浦区,上海市,上海市
"52401",黄浦区,上海市,上海市,徐汇区,上海市,上海市
"47865",长宁区,上海市,上海市,徐汇区,上海市,上海市
"30822",静安区,上海市,上海市,徐汇区,上海市,上海市
"21268",普陀区,上海市,上海市,徐汇区,上海市,上海市
"6698",虹口区,上海市,上海市,徐汇区,上海市,上海市
"7692",杨浦区,上海市,上海市,徐汇区,上海市,上海市
"107918",闵行区,上海市,上海市,徐汇区,上海市,上海市
"12131",宝山区,上海市,上海市,徐汇区,上海市,上海市
"10144",嘉定区,上海市,上海市,徐汇区,上海市,上海市
"71239",浦东新区,上海市,上海市,徐汇区,上海市,上海市
"1800",金山区,上海市,上海市,徐汇区,上海市,上海市
"21215",松江区,上海市,上海市,徐汇区,上海市,上海市
"7319",青浦区,上海市,上海市,徐汇区,上海市,上海市
"4831",奉贤区,上海市,上海市,徐汇区,上海市,上海市
"879",崇明区,上海市,上海市,徐汇区,上海市,上海市
"57",玄武区,南京市,江苏省,徐汇区,上海市,上海市
"28",秦淮区,南京市,江苏省,徐汇区,上海市,上海市
"9",建邺区,南京市,江苏省,徐汇区,上海市,上海市
"65",鼓楼区,南京市,江苏省,徐汇区,上海市,上海市
"41",浦口区,南京市,江苏省,徐汇区,上海市,上海市
"34",栖霞区,南京市,江苏省,徐汇区,上海市,上海市
"177",雨花台区,南京市,江苏省,徐汇区,上海市,上海市
"67",江宁区,南京市,江苏省,徐汇区,上海市,上海市
"3",六合区,南京市,江苏省,徐汇区,上海市,上海市
"3",溧水区,南京市,江苏省,徐汇区,上海市,上海市
"107",锡山区,无锡市,江苏省,徐汇区,上海市,上海市
"67",惠山区,无锡市,江苏省,徐汇区,上海市,上海市
"114",滨湖区,无锡市,江苏省,徐汇区,上海市,上海市
"213",梁溪区,无锡市,江苏省,徐汇区,上海市,上海市
"171",新吴区,无锡市,江苏省,徐汇区,上海市,上海市
"91",江阴市,无锡市,江苏省,徐汇区,上海市,上海市
"65",宜兴市,无锡市,江苏省,徐汇区,上海市,上海市
"71",天宁区,常州市,江苏省,徐汇区,上海市,上海市
"30",钟楼区,常州市,江苏省,徐汇区,上海市,上海市
"67",新北区,常州市,江苏省,徐汇区,上海市,上海市
"40",武进区,常州市,江苏省,徐汇区,上海市,上海市
"11",金坛区,常州市,江苏省,徐汇区,上海市,上海市
"18",溧阳市,常州市,江苏省,徐汇区,上海市,上海市
"189",虎丘区,苏州市,江苏省,徐汇区,上海市,上海市
"253",吴中区,苏州市,江苏省,徐汇区,上海市,上海市
"190",相城区,苏州市,江苏省,徐汇区,上海市,上海市
"1131",姑苏区,苏州市,江苏省,徐汇区,上海市,上海市
"254",吴江区,苏州市,江苏省,徐汇区,上海市,上海市
"203",常熟市,苏州市,江苏省,徐汇区,上海市,上海市
"64",张家港市,苏州市,江苏省,徐汇区,上海市,上海市
"3129",昆山市,苏州市,江苏省,徐汇区,上海市,上海市
"592",太仓市,苏州市,江苏省,徐汇区,上海市,上海市
"257",崇川区,南通市,江苏省,徐汇区,上海市,上海市
"13",港闸区,南通市,江苏省,徐汇区,上海市,上海市
"61",通州区,南通市,江苏省,徐汇区,上海市,上海市
"11",如东县,南通市,江苏省,徐汇区,上海市,上海市
"124",启东市,南通市,江苏省,徐汇区,上海市,上海市
"24",如皋市,南通市,江苏省,徐汇区,上海市,上海市
"83",海门市,南通市,江苏省,徐汇区,上海市,上海市
"19",海安市,南通市,江苏省,徐汇区,上海市,上海市
"8",广陵区,扬州市,江苏省,徐汇区,上海市,上海市
"15",邗江区,扬州市,江苏省,徐汇区,上海市,上海市
"8",江都区,扬州市,江苏省,徐汇区,上海市,上海市
"5",宝应县,扬州市,江苏省,徐汇区,上海市,上海市
"12",仪征市,扬州市,江苏省,徐汇区,上海市,上海市
"2",高邮市,扬州市,江苏省,徐汇区,上海市,上海市
"6",京口区,镇江市,江苏省,徐汇区,上海市,上海市
"81",润州区,镇江市,江苏省,徐汇区,上海市,上海市
"36",丹徒区,镇江市,江苏省,徐汇区,上海市,上海市
"43",丹阳市,镇江市,江苏省,徐汇区,上海市,上海市
"2",扬中市,镇江市,江苏省,徐汇区,上海市,上海市
"25",句容市,镇江市,江苏省,徐汇区,上海市,上海市
"14",海陵区,泰州市,江苏省,徐汇区,上海市,上海市
"5",高港区,泰州市,江苏省,徐汇区,上海市,上海市
"9",姜堰区,泰州市,江苏省,徐汇区,上海市,上海市
"9",兴化市,泰州市,江苏省,徐汇区,上海市,上海市
"22",靖江市,泰州市,江苏省,徐汇区,上海市,上海市
"7",泰兴市,泰州市,江苏省,徐汇区,上海市,上海市
"27348",黄浦区,上海市,上海市,长宁区,上海市,上海市
"50804",徐汇区,上海市,上海市,长宁区,上海市,上海市
"37001",静安区,上海市,上海市,长宁区,上海市,上海市
"49223",普陀区,上海市,上海市,长宁区,上海市,上海市
"6097",虹口区,上海市,上海市,长宁区,上海市,上海市
"7701",杨浦区,上海市,上海市,长宁区,上海市,上海市
"78530",闵行区,上海市,上海市,长宁区,上海市,上海市
"16098",宝山区,上海市,上海市,长宁区,上海市,上海市
"28484",嘉定区,上海市,上海市,长宁区,上海市,上海市
"42737",浦东新区,上海市,上海市,长宁区,上海市,上海市
"895",金山区,上海市,上海市,长宁区,上海市,上海市
"12130",松江区,上海市,上海市,长宁区,上海市,上海市
"18723",青浦区,上海市,上海市,长宁区,上海市,上海市
"2171",奉贤区,上海市,上海市,长宁区,上海市,上海市
"4502",崇明区,上海市,上海市,长宁区,上海市,上海市
"57",玄武区,南京市,江苏省,长宁区,上海市,上海市
"44",秦淮区,南京市,江苏省,长宁区,上海市,上海市
"14",建邺区,南京市,江苏省,长宁区,上海市,上海市
"74",鼓楼区,南京市,江苏省,长宁区,上海市,上海市
"73",浦口区,南京市,江苏省,长宁区,上海市,上海市
"42",栖霞区,南京市,江苏省,长宁区,上海市,上海市
"400",雨花台区,南京市,江苏省,长宁区,上海市,上海市
"145",江宁区,南京市,江苏省,长宁区,上海市,上海市
"5",六合区,南京市,江苏省,长宁区,上海市,上海市
"2",溧水区,南京市,江苏省,长宁区,上海市,上海市
"1",高淳区,南京市,江苏省,长宁区,上海市,上海市
"161",锡山区,无锡市,江苏省,长宁区,上海市,上海市
"95",惠山区,无锡市,江苏省,长宁区,上海市,上海市
"118",滨湖区,无锡市,江苏省,长宁区,上海市,上海市
"224",梁溪区,无锡市,江苏省,长宁区,上海市,上海市
"161",新吴区,无锡市,江苏省,长宁区,上海市,上海市
"89",江阴市,无锡市,江苏省,长宁区,上海市,上海市
"48",宜兴市,无锡市,江苏省,长宁区,上海市,上海市
"116",天宁区,常州市,江苏省,长宁区,上海市,上海市
"62",钟楼区,常州市,江苏省,长宁区,上海市,上海市
"96",新北区,常州市,江苏省,长宁区,上海市,上海市
"52",武进区,常州市,江苏省,长宁区,上海市,上海市
"12",金坛区,常州市,江苏省,长宁区,上海市,上海市
"36",溧阳市,常州市,江苏省,长宁区,上海市,上海市
"236",虎丘区,苏州市,江苏省,长宁区,上海市,上海市
"400",吴中区,苏州市,江苏省,长宁区,上海市,上海市
"270",相城区,苏州市,江苏省,长宁区,上海市,上海市
"1305",姑苏区,苏州市,江苏省,长宁区,上海市,上海市
"316",吴江区,苏州市,江苏省,长宁区,上海市,上海市
"253",常熟市,苏州市,江苏省,长宁区,上海市,上海市
"66",张家港市,苏州市,江苏省,长宁区,上海市,上海市
"3561",昆山市,苏州市,江苏省,长宁区,上海市,上海市
"1095",太仓市,苏州市,江苏省,长宁区,上海市,上海市
"295",崇川区,南通市,江苏省,长宁区,上海市,上海市
"16",港闸区,南通市,江苏省,长宁区,上海市,上海市
"69",通州区,南通市,江苏省,长宁区,上海市,上海市
"17",如东县,南通市,江苏省,长宁区,上海市,上海市
"201",启东市,南通市,江苏省,长宁区,上海市,上海市
"17",如皋市,南通市,江苏省,长宁区,上海市,上海市
"144",海门市,南通市,江苏省,长宁区,上海市,上海市
"28",海安市,南通市,江苏省,长宁区,上海市,上海市
"10",广陵区,扬州市,江苏省,长宁区,上海市,上海市
"16",邗江区,扬州市,江苏省,长宁区,上海市,上海市
"11",江都区,扬州市,江苏省,长宁区,上海市,上海市
"7",宝应县,扬州市,江苏省,长宁区,上海市,上海市
"7",仪征市,扬州市,江苏省,长宁区,上海市,上海市
"8",高邮市,扬州市,江苏省,长宁区,上海市,上海市
"10",京口区,镇江市,江苏省,长宁区,上海市,上海市
"112",润州区,镇江市,江苏省,长宁区,上海市,上海市
"44",丹徒区,镇江市,江苏省,长宁区,上海市,上海市
"69",丹阳市,镇江市,江苏省,长宁区,上海市,上海市
"3",扬中市,镇江市,江苏省,长宁区,上海市,上海市
"22",句容市,镇江市,江苏省,长宁区,上海市,上海市
"20",海陵区,泰州市,江苏省,长宁区,上海市,上海市
"1",高港区,泰州市,江苏省,长宁区,上海市,上海市
"3",姜堰区,泰州市,江苏省,长宁区,上海市,上海市
"10",兴化市,泰州市,江苏省,长宁区,上海市,上海市
"11",靖江市,泰州市,江苏省,长宁区,上海市,上海市
"12",泰兴市,泰州市,江苏省,长宁区,上海市,上海市
"61230",黄浦区,上海市,上海市,静安区,上海市,上海市
"32910",徐汇区,上海市,上海市,静安区,上海市,上海市
"35791",长宁区,上海市,上海市,静安区,上海市,上海市
"71456",普陀区,上海市,上海市,静安区,上海市,上海市
"52739",虹口区,上海市,上海市,静安区,上海市,上海市
"26402",杨浦区,上海市,上海市,静安区,上海市,上海市
"26495",闵行区,上海市,上海市,静安区,上海市,上海市
"78644",宝山区,上海市,上海市,静安区,上海市,上海市
"14159",嘉定区,上海市,上海市,静安区,上海市,上海市
"53643",浦东新区,上海市,上海市,静安区,上海市,上海市
"541",金山区,上海市,上海市,静安区,上海市,上海市
"7562",松江区,上海市,上海市,静安区,上海市,上海市
"5765",青浦区,上海市,上海市,静安区,上海市,上海市
"1740",奉贤区,上海市,上海市,静安区,上海市,上海市
"1957",崇明区,上海市,上海市,静安区,上海市,上海市
"127",玄武区,南京市,江苏省,静安区,上海市,上海市
"37",秦淮区,南京市,江苏省,静安区,上海市,上海市
"11",建邺区,南京市,江苏省,静安区,上海市,上海市
"144",鼓楼区,南京市,江苏省,静安区,上海市,上海市
"50",浦口区,南京市,江苏省,静安区,上海市,上海市
"58",栖霞区,南京市,江苏省,静安区,上海市,上海市
"193",雨花台区,南京市,江苏省,静安区,上海市,上海市
"68",江宁区,南京市,江苏省,静安区,上海市,上海市
"5",六合区,南京市,江苏省,静安区,上海市,上海市
"2",溧水区,南京市,江苏省,静安区,上海市,上海市
"3",高淳区,南京市,江苏省,静安区,上海市,上海市
"90",锡山区,无锡市,江苏省,静安区,上海市,上海市
"79",惠山区,无锡市,江苏省,静安区,上海市,上海市
