count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
1.8820501362408326,徐汇区,上海市,上海市,黄浦区,上海市,上海市
1.0539320130535343,长宁区,上海市,上海市,黄浦区,上海市,上海市
2.0139320472703193,静安区,上海市,上海市,黄浦区,上海市,上海市
0.9371303687133877,普陀区,上海市,上海市,黄浦区,上海市,上海市
1.1417683881469487,虹口区,上海市,上海市,黄浦区,上海市,上海市
0.9688623517862984,杨浦区,上海市,上海市,黄浦区,上海市,上海市
0.7788752365076437,闵行区,上海市,上海市,黄浦区,上海市,上海市
0.5753951831371535,宝山区,上海市,上海市,黄浦区,上海市,上海市
0.3564389707659619,嘉定区,上海市,上海市,黄浦区,上海市,上海市
2.5752580267381515,浦东新区,上海市,上海市,黄浦区,上海市,上海市
0.1991179940362391,金山区,上海市,上海市,黄浦区,上海市,上海市
0.5341697396154582,松江区,上海市,上海市,黄浦区,上海市,上海市
0.31142416799034406,青浦区,上海市,上海市,黄浦区,上海市,上海市
0.25371052965713725,奉贤区,上海市,上海市,黄浦区,上海市,上海市
0.2156477327147861,崇明区,上海市,上海市,黄浦区,上海市,上海市
0.0,玄武区,南京市,江苏省,黄浦区,上海市,上海市
0.0,秦淮区,南京市,江苏省,黄浦区,上海市,上海市
0.0,建邺区,南京市,江苏省,黄浦区,上海市,上海市
0.0,鼓楼区,南京市,江苏省,黄浦区,上海市,上海市
0.0,浦口区,南京市,江苏省,黄浦区,上海市,上海市
0.0,栖霞区,南京市,江苏省,黄浦区,上海市,上海市
0.009919298666459185,雨花台区,南京市,江苏省,黄浦区,上海市,上海市
0.0,江宁区,南京市,江苏省,黄浦区,上海市,上海市
0.0,六合区,南京市,江苏省,黄浦区,上海市,上海市
0.0,溧水区,南京市,江苏省,黄浦区,上海市,上海市
0.0,高淳区,南京市,江苏省,黄浦区,上海市,上海市
0.00844795158555102,锡山区,无锡市,江苏省,黄浦区,上海市,上海市
0.0,惠山区,无锡市,江苏省,黄浦区,上海市,上海市
0.0,滨湖区,无锡市,江苏省,黄浦区,上海市,上海市
0.009669188544744337,梁溪区,无锡市,江苏省,黄浦区,上海市,上海市
0.011375157576153436,新吴区,无锡市,江苏省,黄浦区,上海市,上海市
0.00822577575667666,江阴市,无锡市,江苏省,黄浦区,上海市,上海市
0.0,宜兴市,无锡市,江苏省,黄浦区,上海市,上海市
0.0,天宁区,常州市,江苏省,黄浦区,上海市,上海市
0.0,钟楼区,常州市,江苏省,黄浦区,上海市,上海市
0.0,新北区,常州市,江苏省,黄浦区,上海市,上海市
0.0,武进区,常州市,江苏省,黄浦区,上海市,上海市
0.0,金坛区,常州市,江苏省,黄浦区,上海市,上海市
0.0,溧阳市,常州市,江苏省,黄浦区,上海市,上海市
0.007842618632684333,虎丘区,苏州市,江苏省,黄浦区,上海市,上海市
0.0,吴中区,苏州市,江苏省,黄浦区,上海市,上海市
0.00808692168107395,相城区,苏州市,江苏省,黄浦区,上海市,上海市
0.0263426326998964,姑苏区,苏州市,江苏省,黄浦区,上海市,上海市
0.022613040531810322,吴江区,苏州市,江苏省,黄浦区,上海市,上海市
0.014089985512985334,常熟市,苏州市,江苏省,黄浦区,上海市,上海市
0.0,张家港市,苏州市,江苏省,黄浦区,上海市,上海市
0.13102201571652353,昆山市,苏州市,江苏省,黄浦区,上海市,上海市
0.05960053664283461,太仓市,苏州市,江苏省,黄浦区,上海市,上海市
0.011279042476646873,崇川区,南通市,江苏省,黄浦区,上海市,上海市
0.0,港闸区,南通市,江苏省,黄浦区,上海市,上海市
0.0,通州区,南通市,江苏省,黄浦区,上海市,上海市
0.0,如东县,南通市,江苏省,黄浦区,上海市,上海市
0.036687893424287174,启东市,南通市,江苏省,黄浦区,上海市,上海市
0.0,如皋市,南通市,江苏省,黄浦区,上海市,上海市
0.0122280274014019,海门市,南通市,江苏省,黄浦区,上海市,上海市
0.0,海安市,南通市,江苏省,黄浦区,上海市,上海市
0.0,广陵区,扬州市,江苏省,黄浦区,上海市,上海市
0.0,邗江区,扬州市,江苏省,黄浦区,上海市,上海市
0.0,江都区,扬州市,江苏省,黄浦区,上海市,上海市
0.0,宝应县,扬州市,江苏省,黄浦区,上海市,上海市
0.0,仪征市,扬州市,江苏省,黄浦区,上海市,上海市
0.0,高邮市,扬州市,江苏省,黄浦区,上海市,上海市
0.0,京口区,镇江市,江苏省,黄浦区,上海市,上海市
0.008936832850351403,润州区,镇江市,江苏省,黄浦区,上海市,上海市
0.0,丹徒区,镇江市,江苏省,黄浦区,上海市,上海市
0.0,丹阳市,镇江市,江苏省,黄浦区,上海市,上海市
0.0,扬中市,镇江市,江苏省,黄浦区,上海市,上海市
0.0,句容市,镇江市,江苏省,黄浦区,上海市,上海市
0.0,海陵区,泰州市,江苏省,黄浦区,上海市,上海市
0.0,高港区,泰州市,江苏省,黄浦区,上海市,上海市
0.0,姜堰区,泰州市,江苏省,黄浦区,上海市,上海市
0.0,兴化市,泰州市,江苏省,黄浦区,上海市,上海市
0.0,靖江市,泰州市,江苏省,黄浦区,上海市,上海市
0.008312291049140713,泰兴市,泰州市,江苏省,黄浦区,上海市,上海市
1.9006994570222537,黄浦区,上海市,上海市,徐汇区,上海市,上海市
1.6601455994726946,长宁区,上海市,上海市,徐汇区,上海市,上海市
0.9278375334874691,静安区,上海市,上海市,徐汇区,上海市,上海市
0.8808299946543274,普陀区,上海市,上海市,徐汇区,上海市,上海市
0.5149153251066776,虹口区,上海市,上海市,徐汇区,上海市,上海市
0.5386277678196152,杨浦区,上海市,上海市,徐汇区,上海市,上海市
2.342619800508028,闵行区,上海市,上海市,徐汇区,上海市,上海市
0.5490382977193438,宝山区,上海市,上海市,徐汇区,上海市,上海市
0.4851166648742955,嘉定区,上海市,上海市,徐汇区,上海市,上海市
1.549032564955727,浦东新区,上海市,上海市,徐汇区,上海市,上海市
0.4794515538886967,金山区,上海市,上海市,徐汇区,上海市,上海市
1.3163602555903056,松江区,上海市,上海市,徐汇区,上海市,上海市
0.4367132276784634,青浦区,上海市,上海市,徐汇区,上海市,上海市
0.5775814834927263,奉贤区,上海市,上海市,徐汇区,上海市,上海市
