count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
"59300",徐汇区,上海市,上海市,黄浦区,上海市,上海市
"31274",长宁区,上海市,上海市,黄浦区,上海市,上海市
"72500",静安区,上海市,上海市,黄浦区,上海市,上海市
"26019",普陀区,上海市,上海市,黄浦区,上海市,上海市
"17198",虹口区,上海市,上海市,黄浦区,上海市,上海市
"15828",杨浦区,上海市,上海市,黄浦区,上海市,上海市
"38387",闵行区,上海市,上海市,黄浦区,上海市,上海市
"14840",宝山区,上海市,上海市,黄浦区,上海市,上海市
"8680",嘉定区,上海市,上海市,黄浦区,上海市,上海市
"133516",浦东新区,上海市,上海市,黄浦区,上海市,上海市
"654",金山区,上海市,上海市,黄浦区,上海市,上海市
"10302",松江区,上海市,上海市,黄浦区,上海市,上海市
"5146",青浦区,上海市,上海市,黄浦区,上海市,上海市
"2084",奉贤区,上海市,上海市,黄浦区,上海市,上海市
"481",崇明区,上海市,上海市,黄浦区,上海市,上海市
"55",玄武区,南京市,江苏省,黄浦区,上海市,上海市
"31",秦淮区,南京市,江苏省,黄浦区,上海市,上海市
"6",建邺区,南京市,江苏省,黄浦区,上海市,上海市
"86",鼓楼区,南京市,江苏省,黄浦区,上海市,上海市
"23",浦口区,南京市,江苏省,黄浦区,上海市,上海市
"39",栖霞区,南京市,江苏省,黄浦区,上海市,上海市
"123",雨花台区,南京市,江苏省,黄浦区,上海市,上海市
"42",江宁区,南京市,江苏省,黄浦区,上海市,上海市
"2",六合区,南京市,江苏省,黄浦区,上海市,上海市
"1",溧水区,南京市,江苏省,黄浦区,上海市,上海市
"1",高淳区,南京市,江苏省,黄浦区,上海市,上海市
"60",锡山区,无锡市,江苏省,黄浦区,上海市,上海市
"35",惠山区,无锡市,江苏省,黄浦区,上海市,上海市
"52",滨湖区,无锡市,江苏省,黄浦区,上海市,上海市
"128",梁溪区,无锡市,江苏省,黄浦区,上海市,上海市
"116",新吴区,无锡市,江苏省,黄浦区,上海市,上海市
"60",江阴市,无锡市,江苏省,黄浦区,上海市,上海市
"12",宜兴市,无锡市,江苏省,黄浦区,上海市,上海市
"56",天宁区,常州市,江苏省,黄浦区,上海市,上海市
"42",钟楼区,常州市,江苏省,黄浦区,上海市,上海市
"46",新北区,常州市,江苏省,黄浦区,上海市,上海市
"36",武进区,常州市,江苏省,黄浦区,上海市,上海市
"5",金坛区,常州市,江苏省,黄浦区,上海市,上海市
"5",溧阳市,常州市,江苏省,黄浦区,上海市,上海市
"174",虎丘区,苏州市,江苏省,黄浦区,上海市,上海市
"167",吴中区,苏州市,江苏省,黄浦区,上海市,上海市
"106",相城区,苏州市,江苏省,黄浦区,上海市,上海市
"874",姑苏区,苏州市,江苏省,黄浦区,上海市,上海市
"158",吴江区,苏州市,江苏省,黄浦区,上海市,上海市
"107",常熟市,苏州市,江苏省,黄浦区,上海市,上海市
"29",张家港市,苏州市,江苏省,黄浦区,上海市,上海市
"2084",昆山市,苏州市,江苏省,黄浦区,上海市,上海市
"336",太仓市,苏州市,江苏省,黄浦区,上海市,上海市
"86",崇川区,南通市,江苏省,黄浦区,上海市,上海市
"6",港闸区,南通市,江苏省,黄浦区,上海市,上海市
"29",通州区,南通市,江苏省,黄浦区,上海市,上海市
"6",如东县,南通市,江苏省,黄浦区,上海市,上海市
"48",启东市,南通市,江苏省,黄浦区,上海市,上海市
"12",如皋市,南通市,江苏省,黄浦区,上海市,上海市
"37",海门市,南通市,江苏省,黄浦区,上海市,上海市
"9",海安市,南通市,江苏省,黄浦区,上海市,上海市
"4",广陵区,扬州市,江苏省,黄浦区,上海市,上海市
"5",邗江区,扬州市,江苏省,黄浦区,上海市,上海市
"7",江都区,扬州市,江苏省,黄浦区,上海市,上海市
"3",宝应县,扬州市,江苏省,黄浦区,上海市,上海市
"2",仪征市,扬州市,江苏省,黄浦区,上海市,上海市
"2",高邮市,扬州市,江苏省,黄浦区,上海市,上海市
"2",京口区,镇江市,江苏省,黄浦区,上海市,上海市
"46",润州区,镇江市,江苏省,黄浦区,上海市,上海市
"27",丹徒区,镇江市,江苏省,黄浦区,上海市,上海市
"17",丹阳市,镇江市,江苏省,黄浦区,上海市,上海市
"1",扬中市,镇江市,江苏省,黄浦区,上海市,上海市
"18",句容市,镇江市,江苏省,黄浦区,上海市,上海市
"8",海陵区,泰州市,江苏省,黄浦区,上海市,上海市
"2",高港区,泰州市,江苏省,黄浦区,上海市,上海市
"3",姜堰区,泰州市,江苏省,黄浦区,上海市,上海市
"2",兴化市,泰州市,江苏省,黄浦区,上海市,上海市
"12",靖江市,泰州市,江苏省,黄浦区,上海市,上海市
"24",泰兴市,泰州市,江苏省,黄浦区,上海市,上海市
"60206",黄浦区,上海市,上海市,徐汇区,上海市,上海市
"58968",长宁区,上海市,上海市,徐汇区,上海市,上海市
"39982",静安区,上海市,上海市,徐汇区,上海市,上海市
"29274",普陀区,上海市,上海市,徐汇区,上海市,上海市
"9284",虹口区,上海市,上海市,徐汇区,上海市,上海市
"10533",杨浦区,上海市,上海市,徐汇区,上海市,上海市
"138203",闵行区,上海市,上海市,徐汇区,上海市,上海市
"16950",宝山区,上海市,上海市,徐汇区,上海市,上海市
"14141",嘉定区,上海市,上海市,徐汇区,上海市,上海市
"96133",浦东新区,上海市,上海市,徐汇区,上海市,上海市
"1885",金山区,上海市,上海市,徐汇区,上海市,上海市
"30389",松江区,上海市,上海市,徐汇区,上海市,上海市
"8638",青浦区,上海市,上海市,徐汇区,上海市,上海市
"5679",奉贤区,上海市,上海市,徐汇区,上海市,上海市
"598",崇明区,上海市,上海市,徐汇区,上海市,上海市
"57",玄武区,南京市,江苏省,徐汇区,上海市,上海市
"17",秦淮区,南京市,江苏省,徐汇区,上海市,上海市
"10",建邺区,南京市,江苏省,徐汇区,上海市,上海市
"74",鼓楼区,南京市,江苏省,徐汇区,上海市,上海市
"30",浦口区,南京市,江苏省,徐汇区,上海市,上海市
"42",栖霞区,南京市,江苏省,徐汇区,上海市,上海市
"154",雨花台区,南京市,江苏省,徐汇区,上海市,上海市
"63",江宁区,南京市,江苏省,徐汇区,上海市,上海市
"5",六合区,南京市,江苏省,徐汇区,上海市,上海市
"1",高淳区,南京市,江苏省,徐汇区,上海市,上海市
"89",锡山区,无锡市,江苏省,徐汇区,上海市,上海市
