AREA,O,D
丹徒区,59576,60872
丹阳市,152540,151892
京口区,109549,109043
仪征市,77093,76007
六合区,127603,125457
兴化市,115956,116227
句容市,85146,84349
启东市,152820,153014
吴中区,445902,428412
吴江区,411240,410268
嘉定区,526220,492013
天宁区,107897,104050
太仓市,213573,213361
奉贤区,316326,313292
如东县,119631,119147
如皋市,129276,128034
姑苏区,620849,622194
姜堰区,76769,75890
宜兴市,187918,186918
宝山区,635960,570542
宝应县,64118,64199
崇川区,229717,232460
崇明区,101093,101863
常熟市,398463,402760
广陵区,118043,115931
建邺区,129573,137526
张家港市,266656,265980
徐汇区,262591,325609
惠山区,135814,135150
扬中市,32335,32379
新北区,142248,147104
新吴区,209492,216307
昆山市,740424,747043
普陀区,370372,371003
杨浦区,264825,265559
松江区,557432,517329
栖霞区,215929,211177
梁溪区,169788,165949
武进区,318826,320908
江宁区,467749,454520
江都区,103903,103011
江阴市,308520,307960
泰兴市,102276,101933
浦东新区,1649107,1606946
浦口区,240515,225020
海安市,111025,110816
海门市,147381,147425
海陵区,135070,136054
润州区,87296,87715
港闸区,69171,68599
溧水区,76097,76121
溧阳市,114817,115235
滨湖区,209339,205865
玄武区,101808,107198
相城区,244529,241729
秦淮区,153324,168443
虎丘区,334264,337881
虹口区,155651,157030
通州区,181167,180028
邗江区,218854,221534
金坛区,92570,92893
金山区,160424,161054
钟楼区,128862,127983
锡山区,163994,164587
长宁区,214793,260126
闵行区,772321,738962
雨花台区,142619,143712
青浦区,352498,337493
靖江市,91214,91729
静安区,271397,334857
高淳区,54591,54740
高港区,32889,33433
高邮市,101220,101355
黄浦区,146588,208174
鼓楼区,185643,193690
