OAREA,DAREA,F0
黄浦区,黄浦区,3.849676570895576e-06
徐汇区,黄浦区,1.1548603346472938e-07
长宁区,黄浦区,1.0569321446214337e-07
静安区,黄浦区,1.4221792939061223e-07
普陀区,黄浦区,8.959580895462975e-08
虹口区,黄浦区,1.156392565100888e-07
杨浦区,黄浦区,8.088202283047734e-08
闵行区,黄浦区,6.189934256975335e-08
宝山区,黄浦区,4.860626646834315e-08
嘉定区,黄浦区,2.8883022425300403e-08
浦东新区,黄浦区,8.935884857022415e-08
金山区,黄浦区,4.551428870764755e-09
松江区,黄浦区,2.6404039731600533e-08
青浦区,黄浦区,1.8492545813379716e-08
奉贤区,黄浦区,6.6665807427931e-09
崇明区,黄浦区,5.9396717005137554e-09
玄武区,黄浦区,5.190202375782184e-10
秦淮区,黄浦区,8.14585584081864e-10
建邺区,黄浦区,6.302428395261747e-10
鼓楼区,黄浦区,9.315312648005617e-10
浦口区,黄浦区,2.1969695173840827e-10
栖霞区,黄浦区,8.89861732284278e-11
雨花台区,黄浦区,4.3786424001629416e-10
江宁区,黄浦区,3.286325854086903e-10
六合区,黄浦区,7.529092340713458e-11
溧水区,黄浦区,6.312566658028958e-11
高淳区,黄浦区,8.799387902328766e-11
锡山区,黄浦区,3.515011902699096e-10
惠山区,黄浦区,2.4758652972684756e-10
滨湖区,黄浦区,9.867152109243512e-10
梁溪区,黄浦区,8.770577976215587e-10
新吴区,黄浦区,3.66881702385603e-10
江阴市,黄浦区,1.2456045247660563e-10
宜兴市,黄浦区,3.5787648813122827e-10
天宁区,黄浦区,4.006882920548548e-10
钟楼区,黄浦区,2.6094362145800993e-10
新北区,黄浦区,3.376971099600906e-10
武进区,黄浦区,1.958678402855597e-10
金坛区,黄浦区,2.0756935723280962e-10
溧阳市,黄浦区,1.6735061357674549e-10
虎丘区,黄浦区,7.472866961070753e-10
吴中区,黄浦区,5.386468158654027e-10
相城区,黄浦区,3.7324735775898006e-10
姑苏区,黄浦区,1.5629277290477715e-09
吴江区,黄浦区,3.2706659807725004e-10
常熟市,黄浦区,3.375542215796405e-10
张家港市,黄浦区,2.702174627475266e-10
昆山市,黄浦区,1.4402769151820928e-09
太仓市,黄浦区,5.622988216862965e-10
崇川区,黄浦区,5.018704423018197e-10
港闸区,黄浦区,2.777854216223733e-10
通州区,黄浦区,2.916668728154866e-10
如东县,黄浦区,1.6061635695631723e-10
启东市,黄浦区,1.10017396114128e-09
如皋市,黄浦区,2.229496820644341e-10
海门市,黄浦区,3.259357617169307e-10
海安市,黄浦区,3.028661738196089e-10
广陵区,黄浦区,2.8485989807377036e-10
邗江区,黄浦区,2.4144138259919064e-10
江都区,黄浦区,1.3869687640665706e-10
宝应县,黄浦区,1.4983854299136893e-10
仪征市,黄浦区,1.2462023399686863e-10
高邮市,黄浦区,1.8983101560009077e-10
京口区,黄浦区,1.3154863622014705e-10
润州区,黄浦区,1.6508226664773747e-10
丹徒区,黄浦区,2.418930701839816e-10
丹阳市,黄浦区,1.8894744393969962e-10
扬中市,黄浦区,1.4855957475677428e-10
海陵区,黄浦区,1.422573139782423e-10
高港区,黄浦区,1.4605715740096375e-10
姜堰区,黄浦区,2.502923758162955e-10
兴化市,黄浦区,1.2428008511229166e-10
靖江市,黄浦区,4.213102242866487e-10
泰兴市,黄浦区,2.818065147108e-10
黄浦区,徐汇区,9.670991022451466e-08
徐汇区,徐汇区,2.505239850992999e-06
长宁区,徐汇区,8.554654584823629e-08
静安区,徐汇区,5.219006712406619e-08
普陀区,徐汇区,6.190065789394706e-08
虹口区,徐汇区,4.362550093807446e-08
杨浦区,徐汇区,3.235555262105769e-08
闵行区,徐汇区,1.1528000086127195e-07
宝山区,徐汇区,3.456730271426357e-08
嘉定区,徐汇区,3.3243460823707066e-08
浦东新区,徐汇区,4.182961354016857e-08
金山区,徐汇区,9.323161769917405e-09
松江区,徐汇区,7.384374617848697e-08
青浦区,徐汇区,2.172047011143357e-08
奉贤区,徐汇区,1.0097225354382336e-08
崇明区,徐汇区,4.2531485388078355e-09
玄武区,徐汇区,2.714964798656929e-10
秦淮区,徐汇区,4.2064211594437326e-10
建邺区,徐汇区,4.503422427864883e-10
鼓楼区,徐汇区,4.632154675734615e-10
浦口区,徐汇区,2.2984440573075662e-10
栖霞区,徐汇区,2.1334569559258262e-10
雨花台区,徐汇区,3.014770438957646e-10
江宁区,徐汇区,2.232387843227552e-10
六合区,徐汇区,1.684770519633945e-10
溧水区,徐汇区,1.6143438927898437e-10
高淳区,徐汇区,5.625777472918097e-11
锡山区,徐汇区,3.7454640782476407e-10
惠山区,徐汇区,6.105522322183235e-10
滨湖区,徐汇区,8.65576517678036e-10
梁溪区,徐汇区,6.873535871153868e-10
新吴区,徐汇区,2.785414021756136e-10
江阴市,徐汇区,2.2895393538680317e-10
