AREA,O,D
丹徒区,67033,64802
丹阳市,74182,74127
京口区,74419,74345
仪征市,42192,41918
六合区,68283,67747
兴化市,26212,25383
句容市,50232,46464
启东市,23984,21469
吴中区,377534,371671
吴江区,123005,128925
嘉定区,347301,351238
天宁区,149563,149467
太仓市,90219,89909
奉贤区,125860,126581
如东县,27381,25584
如皋市,47168,47277
姑苏区,540930,540681
姜堰区,41821,41922
宜兴市,55339,58031
宝山区,367791,376104
宝应县,15637,15196
崇川区,137487,135377
崇明区,45723,40570
常熟市,128290,128047
广陵区,117213,116355
建邺区,175716,175716
张家港市,83710,83666
徐汇区,410931,412677
惠山区,111161,110009
扬中市,17527,17244
新北区,143580,142833
新吴区,149775,150016
昆山市,263791,260190
普陀区,375254,381025
杨浦区,227037,230513
松江区,283929,274950
栖霞区,160218,162501
梁溪区,214564,213609
武进区,203179,201976
江宁区,232535,233531
江都区,79951,78696
江阴市,119912,118505
泰兴市,47503,46271
浦东新区,681299,701006
浦口区,120924,127205
海安市,31541,26874
海门市,50217,49034
海陵区,59518,60187
润州区,84837,83985
港闸区,75809,76398
溧水区,29202,28344
溧阳市,46527,42086
滨湖区,172859,169480
玄武区,178861,180707
相城区,213965,214824
秦淮区,236346,230428
虎丘区,358358,357432
虹口区,206548,207481
通州区,110686,107382
邗江区,151420,150613
金坛区,71737,68515
金山区,51853,52783
钟楼区,156015,156336
锡山区,116297,115238
长宁区,391556,393236
闵行区,686081,698626
雨花台区,179346,186089
青浦区,259540,259411
靖江市,40589,39748
静安区,481878,480595
高淳区,12882,11491
高港区,35665,34794
高邮市,41477,42537
黄浦区,366151,359981
鼓楼区,218556,217648
