OAREA,DAREA,F0
徐汇区,黄浦区,3.5257847304904164e-07
长宁区,黄浦区,1.7507288914799388e-07
静安区,黄浦区,3.495536698906469e-07
普陀区,黄浦区,1.5099458977676196e-07
虹口区,黄浦区,1.7554016085464316e-07
杨浦区,黄浦区,1.4957969702427105e-07
闵行区,黄浦区,1.2576924213945627e-07
宝山区,黄浦区,8.542439824801061e-08
嘉定区,黄浦区,5.4614492149517296e-08
浦东新区,黄浦区,4.227197357634781e-07
金山区,黄浦区,3.9590498612336065e-08
松江区,黄浦区,9.037360605863808e-08
青浦区,黄浦区,5.453311539401567e-08
奉贤区,黄浦区,4.28408647852463e-08
崇明区,黄浦区,4.2711126708420715e-08
玄武区,黄浦区,8.231531339646925e-10
秦淮区,黄浦区,3.9962355730765056e-10
建邺区,黄浦区,1.264733725080899e-10
鼓楼区,黄浦区,9.024352189929802e-10
浦口区,黄浦区,6.891744543152577e-10
栖霞区,黄浦区,5.374905198172e-10
雨花台区,黄浦区,2.0910407408656005e-09
江宁区,黄浦区,7.406683389947506e-10
六合区,黄浦区,1.2204755460893372e-10
溧水区,黄浦区,2.853836439751326e-10
高淳区,黄浦区,2.156438744336237e-10
锡山区,黄浦区,1.6720526525342515e-09
惠山区,黄浦区,1.0495841563054085e-09
滨湖区,黄浦区,1.3820599308051007e-09
梁溪区,黄浦区,2.071493365488295e-09
新吴区,黄浦区,1.7619951066140835e-09
江阴市,黄浦区,1.0193197776700696e-09
宜兴市,黄浦区,1.1043628650677948e-09
天宁区,黄浦区,1.1515636367827894e-09
钟楼区,黄浦区,6.766088314408854e-10
新北区,黄浦区,9.28683456900607e-10
武进区,黄浦区,4.78530525624636e-10
金坛区,黄浦区,7.74474647797912e-11
溧阳市,黄浦区,4.776451334414753e-10
虎丘区,黄浦区,1.3565673665146016e-09
吴中区,黄浦区,1.7291481873332627e-09
相城区,黄浦区,2.453801835794615e-09
姑苏区,黄浦区,4.899228862316861e-09
吴江区,黄浦区,3.952170792483555e-09
常熟市,黄浦区,2.5984170773596763e-09
张家港市,黄浦区,1.2942187460005219e-09
昆山市,黄浦区,2.3989111688624997e-08
太仓市,黄浦区,1.2162406302766673e-08
崇川区,黄浦区,3.0307495149948075e-09
港闸区,黄浦区,1.8321864095647882e-10
通州区,黄浦区,8.533096261083966e-10
如东县,黄浦区,7.101811742879218e-10
启东市,黄浦区,8.686804923450866e-09
如皋市,黄浦区,7.656253620230077e-10
海门市,黄浦区,2.323373048948872e-09
海安市,黄浦区,1.409175049848231e-09
广陵区,黄浦区,1.6589858405789106e-10
邗江区,黄浦区,2.751873322996243e-10
江都区,黄浦区,2.0847201839531268e-10
宝应县,黄浦区,7.106029009282959e-10
仪征市,黄浦区,6.584007372141497e-11
高邮市,黄浦区,2.0092516747503006e-10
京口区,黄浦区,2.9862528552696923e-10
润州区,黄浦区,1.7027012777868725e-09
丹徒区,黄浦区,5.801760545754356e-10
丹阳市,黄浦区,1.1608699698588898e-09
扬中市,黄浦区,4.75482008978252e-10
句容市,黄浦区,9.954339669567393e-10
海陵区,黄浦区,3.7338948089034454e-10
高港区,黄浦区,3.1155748105469685e-10
姜堰区,黄浦区,2.656966012724651e-10
兴化市,黄浦区,8.478328675275265e-10
