OAREA,DAREA,F
徐汇区,黄浦区,2.6051179190832524e-10
长宁区,黄浦区,1.2935716600079436e-10
静安区,黄浦区,2.5827683727780314e-10
普陀区,黄浦区,1.1156628710492868e-10
虹口区,黄浦区,1.297024218768964e-10
杨浦区,黄浦区,1.1052085672705579e-10
闵行区,黄浦区,9.292788170917193e-11
宝山区,黄浦区,6.311804253909804e-11
嘉定区,黄浦区,4.035334060810604e-11
浦东新区,黄浦区,3.1233749152756665e-10
金山区,黄浦区,2.925247150471704e-11
松江区,黄浦区,6.67748936909093e-11
青浦区,黄浦区,4.029321327187906e-11
奉贤区,黄浦区,3.165408924598302e-11
崇明区,黄浦区,3.155822888735054e-11
玄武区,黄浦区,6.082081418347631e-13
秦淮区,黄浦区,2.9527227826105744e-13
建邺区,黄浦区,9.344814677947957e-14
鼓楼区,黄浦区,6.667877762019319e-13
浦口区,黄浦区,5.092145033089904e-13
栖霞区,黄浦区,3.9713887589455763e-13
雨花台区,黄浦区,1.5450199373926024e-12
江宁区,黄浦区,5.472621017745651e-13
六合区,黄浦区,9.01780159016686e-14
溧水区,黄浦区,2.1086314155926435e-13
高淳区,黄浦区,1.593340956325011e-13
锡山区,黄浦区,1.235439670805365e-12
惠山区,黄浦区,7.755126027778709e-13
滨湖区,黄浦区,1.021170992049344e-12
梁溪区,黄浦区,1.5305768497514057e-12
新吴区,黄浦区,1.3018959966222565e-12
江阴市,黄浦区,7.531509780277759e-13
宜兴市,黄浦区,8.159872791093684e-13
天宁区,黄浦区,8.508627991959808e-13
钟楼区,黄浦区,4.99930065427295e-13
新北区,黄浦区,6.861819707272476e-13
武进区,黄浦区,3.53574747871708e-13
金坛区,黄浦区,5.72240773920816e-14
溧阳市,黄浦区,3.529205527866192e-13
虎丘区,黄浦区,1.0023351466665425e-12
吴中区,黄浦区,1.2776261944232878e-12
相城区,黄浦区,1.813055424804333e-12
姑苏区,黄浦区,3.6199229035563498e-12
吴江区,黄浦区,2.9201643712786373e-12
常熟市,黄浦区,1.9199081642571164e-12
张家港市,黄浦区,9.562672437890008e-13
昆山市,黄浦区,1.7724980252618504e-11
太仓市,黄浦区,8.986510811197886e-12
崇川区,黄浦区,2.2393482510396024e-12
港闸区,黄浦区,1.3537586697739578e-13
通州区,黄浦区,6.304900518393282e-13
如东县,黄浦区,5.247358657304392e-13
启东市,黄浦区,6.418472168751705e-12
如皋市,黄浦区,5.657022485412235e-13
海门市,黄浦区,1.7166847170757097e-12
海安市,黄浦区,1.0412057042898468e-12
广陵区,黄浦区,1.2257849163117702e-13
邗江区,黄浦区,2.033293309937141e-13
江都区,黄浦区,1.5403498292238085e-13
宝应县,黄浦区,5.250474694475613e-13
仪征市,黄浦区,4.8647654056168915e-14
高邮市,黄浦区,1.4845879547251822e-13
京口区,黄浦区,2.2064707345574427e-13
润州区,黄浦区,1.258085206180908e-12
丹徒区,黄浦区,4.286781955026674e-13
丹阳市,黄浦区,8.577390258832903e-13
扬中市,黄浦区,3.5132227191268535e-13
句容市,黄浦区,7.355023243924553e-13
海陵区,黄浦区,2.758885473218695e-13
高港区,黄浦区,2.302023630941123e-13
姜堰区,黄浦区,1.9631685707542898e-13
兴化市,黄浦区,6.264434060545945e-13
靖江市,黄浦区,5.562580999609912e-13
泰兴市,黄浦区,3.024607443648855e-13
黄浦区,徐汇区,2.562363145416821e-10
长宁区,徐汇区,2.1886963256557007e-10
静安区,徐汇区,1.1452097736068759e-10
普陀区,徐汇区,1.0147583887395444e-10
虹口区,徐汇区,5.806112920453885e-11
杨浦区,徐汇区,6.066021774202396e-11
闵行区,徐汇区,2.8163058976028904e-10
宝山区,徐汇区,5.905502176440717e-11
嘉定区,徐汇区,5.229552599922991e-11
浦东新区,徐汇区,1.8721532315211864e-10
金山区,徐汇区,6.215269230957152e-11
松江区,徐汇区,1.3378105364579217e-10
青浦区,徐汇区,5.049039585875905e-11
奉贤区,徐汇区,6.872434967847694e-11
崇明区,徐汇区,3.4420366169402926e-11
玄武区,徐汇区,5.705852359489215e-13
秦淮区,徐汇区,2.121148643683177e-13
建邺区,徐汇区,9.170489751440429e-14
鼓楼区,徐汇区,5.324906076228971e-13
浦口区,徐汇区,6.070614864040257e-13
栖霞区,徐汇区,3.7995217920846464e-13
雨花台区,徐汇区,1.7670258393028422e-12
江宁区,徐汇区,5.158789432892783e-13
六合区,徐汇区,7.866290668561263e-14
溧水区,徐汇区,1.83937376111694e-13
锡山区,徐汇区,1.64731477889044e-12
惠山区,徐汇区,1.0791546502619834e-12
滨湖区,徐汇区,1.180794125698518e-12
梁溪区,徐汇区,1.777395496272309e-12
新吴区,徐汇区,2.044175180511969e-12
江阴市,徐汇区,1.3587516189829361e-12
宜兴市,徐汇区,2.103019881812644e-12
天宁区,徐汇区,8.499541715133907e-13
钟楼区,徐汇区,3.442835148680376e-13
新北区,徐汇区,8.354917821268446e-13
武进区,徐汇区,3.524865107262521e-13
金坛区,徐汇区,2.745432706941121e-13
溧阳市,徐汇区,6.926738354779401e-13
虎丘区,徐汇区,9.442913879541193e-13
吴中区,徐汇区,1.1998467529415125e-12
相城区,徐汇区,1.5899087216298625e-12
姑苏区,徐汇区,3.7435433419658e-12
吴江区,徐汇区,3.6971943453037855e-12
常熟市,徐汇区,2.833117336280766e-12
张家港市,徐汇区,1.3688755324400746e-12
昆山市,徐汇区,2.123767241973333e-11
太仓市,徐汇区,1.174857047950174e-11
崇川区,徐汇区,3.346823552054419e-12
港闸区,徐汇区,3.0703219206065213e-13
通州区,徐汇区,9.867303142524344e-13
如东县,徐汇区,7.192911365466388e-13
启东市,徐汇区,9.256811039227499e-12
如皋市,徐汇区,9.110141209656864e-13
海门市,徐汇区,2.9592977036245096e-12
海安市,徐汇区,1.0785479839685914e-12
广陵区,徐汇区,1.2220121789024965e-13
邗江区,徐汇区,1.773655810729655e-13
江都区,徐汇区,1.7915437396117412e-13
宝应县,徐汇区,5.72503171666953e-13
仪征市,徐汇区,5.092282193035349e-13
高邮市,徐汇区,8.633442240621208e-14
京口区,徐汇区,1.4435397565712218e-13
润州区,徐汇区,1.7094682738047026e-12
丹徒区,徐汇区,9.615573088861344e-13
丹阳市,徐汇区,1.037842010461606e-12
扬中市,徐汇区,2.0430723102313333e-13
句容市,徐汇区,8.910885586236009e-13
海陵区,徐汇区,4.2115410240594793e-13
高港区,徐汇区,2.510088909394685e-13
姜堰区,徐汇区,3.8530924109038665e-13
兴化市,徐汇区,6.147572780268986e-13
靖江市,徐汇区,9.704555721886972e-13
泰兴市,徐汇区,2.638385982674484e-13
黄浦区,长宁区,1.4034071034417648e-10
徐汇区,长宁区,2.3229899243668803e-10
静安区,长宁区,1.4427619701260475e-10
普陀区,长宁区,2.464683017481733e-10
虹口区,长宁区,5.546429852767936e-11
杨浦区,长宁区,6.373365243373524e-11
闵行区,长宁区,2.1506935312965337e-10
宝山区,长宁区,8.224114519119033e-11
嘉定区,长宁区,1.5410377128485422e-10
浦东新区,长宁区,1.1786493067515227e-10
金山区,长宁区,3.243153250746817e-11
松江区,长宁区,8.027297742084916e-11
青浦区,长宁区,1.3554685979629536e-10
奉贤区,长宁区,3.2410849918755704e-11
崇明区,长宁区,1.850073986333805e-10
玄武区,长宁区,5.987941170586952e-13
秦淮区,长宁区,3.498023668491936e-13
建邺区,长宁区,1.4970456753753906e-13
鼓楼区,长宁区,6.361906907211554e-13
浦口区,长宁区,1.1343019515375145e-12
栖霞区,长宁区,4.925567874288696e-13
雨花台区,长宁区,4.190700463975653e-12
江宁区,长宁区,1.1716502675378517e-12
六合区,长宁区,1.3758647200111622e-13
溧水区,长宁区,1.2868731001509786e-13
高淳区,长宁区,1.4585960359652568e-13
锡山区,长宁区,2.601211635540052e-12
惠山区,长宁区,1.6057927176383096e-12
滨湖区,长宁区,1.2826505000988805e-12
梁溪区,长宁区,1.9615956294197508e-12
新吴区,长宁区,2.0197837394652077e-12
江阴市,长宁区,1.3945872290030146e-12
宜兴市,长宁区,1.6297772610538914e-12
天宁区,长宁区,1.4573106715533352e-12
钟楼区,长宁区,7.46695712840993e-13
新北区,长宁区,1.2563065029873425e-12
武进区,长宁区,4.808867919597157e-13
金坛区,长宁区,3.143086686419187e-13
溧阳市,长宁区,1.453837188881638e-12
虎丘区,长宁区,1.2374088637429185e-12
吴中区,长宁区,1.9907753087461722e-12
相城区,长宁区,2.3710425614152773e-12
姑苏区,长宁区,4.533021379212152e-12
吴江区,长宁区,4.827059377062885e-12
常熟市,长宁区,3.705493363654239e-12
张家港市,长宁区,1.4814429016008757e-12
昆山市,长宁区,2.5364734640612868e-11
太仓市,长宁区,2.2805228807854612e-11
崇川区,长宁区,4.031611766868729e-12
港闸区,长宁区,3.965678826588808e-13
通州区,长宁区,1.171317741481313e-12
如东县,长宁区,1.1665891687673036e-12
启东市,长宁区,1.5746816465961438e-11
如皋市,长宁区,6.772044188860571e-13
海门市,长宁区,5.3880305782580366e-12
海安市,长宁区,1.668018629049568e-12
广陵区,长宁区,1.6030332928347913e-13
邗江区,长宁区,1.985432216119872e-13
江都区,长宁区,2.585158102942412e-13
宝应县,长宁区,8.411296217121638e-13
仪征市,长宁区,3.117354923851229e-13
高邮市,长宁区,3.6241066876204996e-13
京口区,长宁区,2.5248436736995174e-13
润州区,长宁区,2.4805674683853706e-12
丹徒区,长宁区,1.233338657009824e-12
丹阳市,长宁区,1.7477080091342997e-12
扬中市,长宁区,3.216118126656776e-13
句容市,长宁区,8.229255275057684e-13
海陵区,长宁区,6.313933309353285e-13
高港区,长宁区,5.268367905594963e-14
姜堰区,长宁区,1.3478611799314537e-13
兴化市,长宁区,7.168332876279733e-13
靖江市,长宁区,5.0921672248232e-13
泰兴市,长宁区,4.746555157014362e-13
黄浦区,静安区,2.57096627777156e-10
徐汇区,静安区,1.2312643998076077e-10
长宁区,静安区,1.4053105119390196e-10
普陀区,静安区,2.927559405717549e-10
虹口区,静安区,3.9255746644450237e-10
杨浦区,静安区,1.7878559846527239e-10
闵行区,静安区,5.937189037322947e-11
宝山区,静安区,3.2874324841138076e-10
嘉定区,静安区,6.267854312366113e-11
浦东新区,静安区,1.2105079661029696e-10
金山区,静安区,1.604041951804215e-11
松江区,静安区,4.094673384352231e-11
青浦区,静安区,3.4149736476721244e-11
奉贤区,静安区,2.1254645517407758e-11
崇明区,静安区,6.580341809907512e-11
