DAREA,丹徒区,丹阳市,京口区,仪征市,六合区,兴化市,句容市,启东市,吴中区,吴江区,嘉定区,天宁区,太仓市,奉贤区,如东县,如皋市,姑苏区,姜堰区,宜兴市,宝山区,宝应县,崇川区,崇明区,常熟市,广陵区,建邺区,张家港市,徐汇区,惠山区,扬中市,新北区,新吴区,昆山市,普陀区,杨浦区,松江区,栖霞区,梁溪区,武进区,江宁区,江都区,江阴市,泰兴市,浦东新区,浦口区,海安市,海门市,海陵区,润州区,港闸区,溧水区,溧阳市,滨湖区,玄武区,相城区,秦淮区,虎丘区,虹口区,通州区,邗江区,金坛区,金山区,钟楼区,锡山区,长宁区,闵行区,雨花台区,青浦区,靖江市,静安区,高淳区,高港区,高邮市,黄浦区,鼓楼区
丹徒区,,1.3164731715011584e-09,2.0987297350818855e-09,3.1861548303295916e-10,5.276642521406924e-11,3.175454429282766e-11,1.0577636304306291e-09,9.508052343155696e-12,3.412758505989106e-12,5.376360875207626e-12,4.070978747164927e-12,1.5399633510442333e-11,3.917841557402339e-12,1.5400838891507171e-12,6.246333061198812e-12,7.010253449954567e-12,6.534371313613252e-12,2.2901717679458507e-11,2.9463742765454026e-11,5.58026201452514e-13,5.4687870291195447e-11,4.14659435798014e-12,2.4937244646922356e-13,8.976597500671475e-12,1.7412472082570226e-10,5.385796846631619e-12,1.2803647100367426e-11,7.214190840255909e-13,1.4975578035526822e-11,4.254547193428796e-10,4.780636533421933e-11,1.3550766375192063e-11,6.440350122320072e-12,1.0027017972016454e-12,3.0132682434789867e-13,1.0039531335221401e-12,6.305297746659118e-11,8.44935293346534e-12,2.845196885281226e-11,3.7314661868119934e-11,1.202228054662991e-10,2.139454502660509e-11,2.3762785100337214e-11,1.2049747007315237e-12,2.159266075146306e-11,1.1567984649731901e-11,5.676392640894672e-12,1.6666872276998068e-11,2.7434984343979635e-09,9.024302948129359e-13,3.279818968127642e-11,8.969313799273338e-11,8.245200112456042e-12,3.0790352433832115e-11,8.313139035385789e-12,8.297807856383934e-12,4.39081527145452e-12,2.2081175068095185e-13,1.6482021386498469e-12,1.521077391838784e-10,2.0551262091105868e-10,1.9790273914568257e-12,1.849001866223001e-11,8.23557559586777e-12,1.2521540313677466e-12,2.675676888816163e-12,1.9835633844148412e-11,2.3723165753843904e-12,1.6012151397792548e-11,2.247862228907876e-12,2.4783230737272524e-11,5.4668488413150295e-11,8.879292638044402e-11,5.916659275226174e-13,1.6903064952925513e-11
丹阳市,1.162970769257314e-09,,8.293584754791956e-10,9.70972385854038e-11,2.7005629452719584e-11,6.008306749443583e-11,5.663288266718993e-10,4.987177206209684e-12,6.86455593173299e-12,1.2560418280848084e-11,9.011950212186782e-12,1.2729295514110563e-10,7.291906578719913e-12,2.138312654980926e-12,3.2763355460099994e-12,1.2045437076836669e-11,2.0122259235667662e-11,2.5979288583879122e-11,8.123447991665554e-11,1.0569603086253674e-12,3.5696838984295e-11,2.5374738666083927e-12,2.1800198680775733e-13,1.5461635854075974e-11,4.5325916760242554e-11,4.821728878639068e-12,2.2266883354505714e-11,1.2128197730046026e-12,1.1863219570747896e-10,8.797877213344414e-10,8.861801944454907e-10,4.858237045736668e-11,1.7872953931899288e-11,3.107818881634566e-12,3.5122750363371924e-13,2.036167073046582e-12,3.446621779648568e-11,2.750173033194834e-11,2.2944770645503456e-10,4.9466666904354166e-11,3.391096693280404e-11,6.758075953370317e-11,8.351359971872963e-11,1.7117616004263875e-12,1.1375270982666221e-11,1.4853115868619292e-11,3.969852776076264e-12,3.265738842615952e-11,3.750358199636125e-10,1.5778134273467933e-12,5.427248373422927e-11,1.242562127115531e-10,1.9432696776143197e-11,1.6662904422990564e-11,1.6351573387360978e-11,7.253963396729825e-12,1.1125974408620528e-11,6.75619554773492e-13,2.251347244188761e-12,1.924158054123419e-10,1.1692465011396532e-09,2.3067606139226865e-12,3.531167174067679e-10,1.7998899515811487e-11,1.5019424698532374e-12,4.750808554090881e-12,1.3838939847333987e-11,4.186174878116701e-12,2.3084191658435592e-11,5.5436124867152514e-12,2.0118019400177632e-11,7.014983640952146e-11,1.2136101804902957e-10,1.7967137045249959e-12,1.2724380255606314e-11
京口区,2.011328392291252e-09,8.322479552138452e-10,,2.7559769252954034e-11,4.8030949729677064e-12,2.0474505822124398e-11,1.754942847567466e-10,4.972553430152737e-12,8.687157555058722e-13,1.696744136989315e-12,6.295590549967778e-13,7.442411561517959e-12,8.812757214391887e-13,2.368936148672796e-13,2.177818952353516e-12,9.48167095293286e-12,1.5800732143893173e-12,1.782324093589095e-11,9.338816983165473e-12,2.1617661746079205e-13,2.6694124521375032e-11,2.2408866326345283e-12,,2.479002706758817e-12,1.0089996313538321e-10,2.262395408287298e-12,4.274103027193283e-12,1.6929688323211656e-13,3.1292151709438063e-12,2.405942660809262e-09,2.5195748371777117e-11,3.251446253808701e-12,1.4693473043945606e-12,2.6484665823856033e-13,1.7509880396702336e-13,1.7501693714036379e-13,1.2654316399963268e-11,1.8064567903914239e-12,1.0565614489873946e-11,1.0599446292765336e-11,6.613137611515458e-11,9.11695615782557e-12,2.447849155465206e-11,2.3340064879743597e-13,3.4518873436269177e-12,5.986844392766245e-12,2.5728378488927757e-12,1.7867149709835408e-11,4.9523105223068385e-09,2.6219780735968736e-13,9.189058054405942e-12,9.185086120528009e-12,1.9548198868917394e-12,4.723056043914258e-12,1.3470232368980574e-12,2.943537759194439e-12,1.331201998769758e-12,9.623406461515261e-14,2.0651660205310625e-12,9.700877489260646e-11,2.202793271897874e-11,5.749991392435503e-13,7.962757418409505e-12,1.880069901712305e-12,2.538200612189641e-13,4.780335471163812e-13,5.264434640087879e-12,2.6804861494743347e-13,1.0039112773206437e-11,4.743627352742836e-13,2.3145032112401653e-12,7.663202346818868e-11,4.2172093325830884e-11,2.7143109780023187e-13,4.8201767036408e-12
仪征市,3.042396010544384e-10,1.4280617081750402e-10,3.671291835607376e-11,,8.549658634929532e-10,7.262641993157298e-11,1.7896196773188318e-10,1.0289101711885652e-11,1.5407384141200452e-12,4.585622009936702e-12,1.3195879905542007e-12,6.482007988120917e-12,2.3445218108114586e-12,7.002503219503118e-13,5.7938099389065135e-12,2.728013018575575e-11,2.4439439166065733e-12,3.7511690257714054e-11,2.7711433095278063e-11,4.792586306933353e-14,1.285057188636689e-10,6.6667281809547734e-12,3.855105986950386e-13,6.04548171004648e-12,4.191140571201093e-10,1.0131671626473732e-11,8.001608433365948e-12,1.7157820757385788e-13,4.9156424845776004e-12,1.4079638013229045e-11,1.362699416742437e-11,7.178960222681544e-12,3.274214640008678e-12,1.4091816026584592e-13,1.5527602200639764e-13,3.10406846502704e-13,2.3246588668585023e-10,3.532503809948219e-12,1.2405899516638309e-11,2.84258839058635e-11,4.429218210929656e-10,9.55480328714942e-12,5.3804426248854205e-11,3.622107407435876e-13,5.786940837501984e-11,3.800182857490443e-11,5.967180810686923e-12,5.390066200060908e-11,1.662171090833787e-10,6.975438709440798e-12,9.657804864945278e-12,1.136546592567751e-10,4.282805329046196e-12,2.7692470746900903e-11,2.6361995435340545e-12,8.502127922076914e-12,1.918308906348391e-12,8.533949059847228e-14,7.006982351714425e-12,2.5851020434519025e-09,4.643972439161359e-11,1.0198079824195273e-12,5.762021320455057e-12,4.243855223399838e-12,3.151194407158433e-13,4.624535876585979e-13,1.405449944738692e-11,3.395758092034609e-13,1.650236867025705e-11,2.1947506759968186e-13,8.209921334016418e-12,4.2009521767876804e-11,7.832295039399565e-10,1.9256209710347097e-13,1.9678778296676885e-11
六合区,9.713308895139446e-11,1.2011715676965796e-10,1.2457090540396884e-11,9.341993504276879e-10,,4.743361423395694e-11,1.3526614148861536e-10,7.275785589811214e-12,1.6177577265918104e-12,3.9899850978473675e-12,9.420994410433898e-13,5.614978304345191e-12,3.7475307925485466e-12,8.665503415800896e-13,7.966401956924151e-12,2.0347766043147404e-11,2.6412636394462103e-12,2.1906167196544055e-11,3.212460694370521e-11,1.1564983954636012e-12,5.789035081713511e-11,3.014418081468258e-12,9.541283467075222e-13,5.100819673767407e-12,3.163622536496108e-11,1.3965379275669701e-10,6.905260276594571e-12,2.123257208461179e-13,5.101905660749763e-12,1.120073297108953e-11,1.1166187366427571e-11,6.335216331991653e-12,4.341210552703981e-12,6.394091926556259e-13,3.36265975122509e-13,1.0755480164955193e-12,7.982154119846914e-10,2.084051875264291e-12,7.944460720206308e-12,1.9314325113726978e-10,5.060944033565709e-11,6.912457448242484e-12,3.397990831464955e-11,6.243216287796597e-13,2.228920044261071e-09,2.973750431263824e-11,5.212451209332462e-12,3.1518217128429144e-11,2.9182472152502225e-11,5.323073726967765e-12,1.2698366151986794e-10,8.087151324389749e-11,2.649956954299946e-12,2.0415090993496195e-10,3.160315757931786e-12,1.244093888081305e-10,2.526053320220399e-12,1.0560647015828776e-13,4.138453907118645e-12,1.0984192288778689e-10,1.3226884677698397e-11,,4.473991387649448e-12,2.344515034593973e-12,4.456640725363222e-13,8.743167978008216e-13,1.0502245541407306e-10,2.059080401314724e-12,1.1285543106835211e-11,6.563604799859785e-13,7.535086409892127e-11,2.599310867589502e-11,5.837503621299024e-11,2.9786625187769553e-13,2.4422086019202214e-10
兴化市,2.2581008340094826e-11,3.1784481020947355e-11,1.5646053293478365e-11,5.1743975755802326e-11,3.069365071958261e-11,,2.6077183768380457e-11,2.1846382505892046e-11,5.4743293612868655e-12,1.1359183513327425e-11,4.7774644676159795e-12,1.4013188770519844e-11,1.2905969253121474e-11,1.3876890672739945e-12,5.42187517278548e-11,2.388317973511336e-10,6.726630756563733e-12,5.352547997396193e-09,2.893077224136918e-11,1.8203520288077623e-12,8.395600205623877e-10,1.7572967284894465e-11,3.183200030748656e-12,2.586667997610877e-11,8.617520733545685e-11,2.9818777915574842e-12,3.060088410111344e-11,8.500431751661712e-13,2.0949139357281172e-11,8.802315416573061e-11,2.595043632923508e-11,2.1378734836456404e-11,9.379670781416552e-12,1.7065774169657126e-12,6.410649145554285e-13,2.563060747685527e-12,6.540633861629965e-12,2.0892600875181112e-11,1.6332575581802227e-11,8.88788982769938e-12,6.604531660160356e-10,7.598193244521518e-11,8.634130311910507e-10,1.9653899184564653e-12,1.059177668661393e-11,7.927684337851429e-10,1.507131780135787e-11,2.2492810496731402e-09,1.5097186416918363e-11,3.954987367096213e-11,5.980910417338024e-12,8.758941561170465e-12,2.0207746892797592e-11,9.439325946230207e-12,7.482532213516832e-12,4.310706274028101e-12,6.010951992386462e-12,1.4093136220725527e-13,1.9987088846737582e-11,5.152051504634365e-11,1.257902924622871e-11,4.4910174533676604e-12,1.324709458118819e-11,1.3265878079939812e-11,8.177629790196696e-13,1.187985890927101e-12,6.167661715594427e-12,3.1403812438666734e-12,3.8368434023093757e-10,1.2081518974173613e-12,1.581770198791252e-11,3.770755654716692e-10,2.1538635938624826e-09,3.97501181222831e-13,5.860282966617723e-12
句容市,1.1303924485082857e-09,5.260548382143325e-10,1.8846892529703357e-10,1.9711813218743816e-10,2.391733843803132e-10,9.100098614852587e-12,,2.6521212463032686e-12,1.937567142748421e-12,5.041930333893269e-12,3.617229436235189e-12,1.2971513791016474e-11,3.52522617028218e-12,1.0107814392394343e-12,1.1615440628782296e-12,3.708516556164739e-12,6.496900333530036e-12,8.365333632441998e-12,4.281638139345354e-11,7.782630403436168e-13,1.1186500538541818e-11,2.313254197536407e-12,6.955851100249064e-13,4.958178811391192e-12,1.5330547347054398e-11,4.552098757879591e-11,7.978604679238379e-12,6.191645407266678e-13,1.0443003269824047e-11,8.347092755980856e-11,2.370144493987019e-11,7.856830615721886e-12,6.209151397363607e-12,2.500239892385503e-12,1.4008394220179444e-13,5.600737857997739e-13,6.146739000775407e-10,9.264204964972222e-12,3.662874454863199e-11,8.762287425771913e-10,1.6309661635406944e-11,1.0078733099734925e-11,1.13818505306269e-11,5.835220289782607e-13,8.94234470835185e-11,4.5375565434041276e-12,2.8500123650458927e-12,1.6298082236682994e-11,4.466771521850652e-10,4.195311636569378e-13,1.4436174731184164e-09,2.676157751711766e-10,5.059710773554701e-12,1.5398812539116508e-10,5.871368683821736e-12,8.740089771644912e-11,3.8606208104091235e-12,8.468893861048202e-13,8.620124853821295e-13,4.2218015025224073e-11,4.5864036963037726e-10,2.146738529108071e-12,2.028344505063004e-11,5.87969695427981e-12,1.258991533210745e-12,2.062859327633707e-12,7.829319343990262e-11,1.593030337572992e-12,5.4849753849486705e-12,3.861035204266692e-12,2.135589648936773e-10,1.5159737719230886e-11,1.7636219438975392e-11,1.9109417581399844e-12,6.133661995534051e-11
启东市,2.567090181445102e-12,2.3196969093959386e-12,4.624618877781468e-13,6.525588021722014e-12,4.032154559883064e-12,2.4946706596393874e-11,6.851399750470199e-12,,2.643636296519771e-12,8.673586342209009e-12,1.0405022959303314e-11,2.7613207458980023e-12,2.0599445418751514e-11,1.6406777956409613e-11,7.252475752429137e-10,6.931638751957643e-11,5.471635526748977e-12,9.875216152620521e-12,2.487645329808049e-12,1.7966352182353257e-11,4.401861127653886e-12,4.861243410793982e-10,2.213706724347015e-09,5.955523557796198e-11,1.4680944616451208e-12,7.834449048820119e-13,1.850098919119921e-11,1.1222656514984986e-11,2.4768363887738974e-12,9.817981179483626e-12,1.1984939137262122e-12,5.285040081528451e-12,9.915472071521412e-12,1.192278739054893e-11,2.3647636250230833e-11,1.127283040503174e-11,6.444210618013314e-13,3.3683888059404186e-12,1.5244860986571307e-12,2.5160563822717113e-12,6.887408783192086e-12,1.1193392636566102e-11,3.405152743297075e-11,5.480898560077098e-11,1.7076486665953112e-12,1.0802381571382101e-10,6.252399048926145e-09,1.0408399510704565e-11,1.622685914238453e-12,1.2529914045207144e-10,,4.438190886138617e-12,3.1855744833939246e-12,2.886259544553751e-12,5.9513948327193255e-12,1.1649345020118607e-12,1.1524548488348046e-12,1.3496582147256397e-11,7.97543636016581e-10,2.2728801496870894e-12,2.3987587455958504e-12,9.292101077504998e-12,1.1029693050848288e-12,2.6633839311337104e-12,2.58412325710989e-11,1.0734903841505955e-11,2.1108665010213833e-12,6.762786131442772e-12,1.3566612127053894e-11,1.049880847497624e-11,,1.3509696261653349e-11,2.4892796894588742e-12,5.5456386091179664e-12,1.5746971589232009e-12
吴中区,2.0463190715851912e-12,3.859018596816154e-12,4.5412771663125067e-13,1.1308214730636767e-12,6.405057084810386e-13,3.6404409882117085e-12,2.770323508425228e-12,2.3208620826420287e-12,,8.702168086950628e-10,4.315968133788966e-12,2.8444776316617878e-12,3.530022066009157e-11,2.0059906801607726e-12,1.5972992692820119e-12,2.2759316502900473e-12,5.205701122971531e-10,1.330995341815988e-12,1.3830641999560678e-11,1.7026382025075987e-12,4.068267109334924e-12,9.817955425673669e-12,7.391407069523225e-13,4.60386694878642e-11,3.561692571861894e-13,2.6021327279164504e-13,2.5268368596622675e-11,1.0933329873384662e-12,1.1374114295254811e-11,2.0416337475681514e-12,3.101465730050783e-12,2.2856342551763077e-11,1.8524755727999416e-10,1.3774027163146703e-12,8.668650079720418e-13,3.430830360148179e-12,9.057836380690927e-13,5.966806138830315e-12,3.2190668584524754e-12,1.1541396357632288e-12,1.4919019021495244e-12,6.39937522319146e-12,3.3479723800954783e-12,2.643646386651419e-12,8.055574024399725e-13,2.8362856832081247e-12,1.4251633786816015e-12,1.0688445980824321e-12,2.0855356662598747e-12,1.0227200178895883e-12,1.0892317784513081e-12,2.2218319638401158e-12,1.4191754208129715e-11,1.2337303303162777e-12,1.4595491321846156e-10,3.4486452123363073e-13,6.326790982727344e-10,6.833611297367295e-13,1.7242151524674357e-12,6.95833839197167e-13,2.4940905455780825e-12,2.6453803314286566e-12,1.6819787055941067e-12,1.6273514454052455e-11,1.3759046076526748e-12,2.378924626770483e-12,1.1971400988132545e-12,1.2339687389533849e-11,3.918271747805452e-12,1.3284086349366311e-12,1.2345810586219182e-12,2.3968405561411912e-12,1.3420342886439816e-12,1.1347468319791623e-12,1.0551353491047121e-12
吴江区,3.505336006706598e-12,1.0120622154220833e-11,2.156297378505743e-12,3.124152154820679e-12,1.930410610491544e-12,1.180668710758843e-11,6.617317566092684e-12,6.2127830158893e-12,8.118994816905548e-10,,8.168336464875297e-12,6.322578495545145e-12,3.303237407931566e-11,9.425775063131627e-12,1.2977075691020328e-11,1.263631172431216e-11,3.2152085647209376e-10,3.1518669500058365e-12,5.043500958737845e-11,6.840657964348278e-12,1.1361684130454292e-11,5.1813621288219584e-11,2.6322008826687698e-12,1.2856786674457212e-10,1.222358735584995e-12,3.913851928542621e-13,4.6486503934024705e-11,3.681878690210156e-12,3.696588976995418e-11,8.17460686221966e-12,8.701557574971176e-12,4.503722134563017e-11,1.6591943870395656e-10,3.6195740773308096e-12,2.322339137958907e-12,1.479546691877658e-11,9.65799356077681e-13,1.0871062830851115e-11,7.78510934985569e-12,2.3660142532549343e-12,5.734565800517778e-12,2.3036624596880303e-11,9.531044711665197e-12,8.454010127506111e-12,1.2322399842304998e-12,2.416632634990456e-11,8.673557894763467e-12,2.792441748546387e-12,1.891503643587337e-12,4.9895068265204315e-12,1.5700440734100298e-12,8.868739512228967e-12,1.8268128427271318e-11,6.728807339680767e-13,1.2109500304395854e-10,4.3647432502081394e-13,1.744465876518727e-10,1.6370632945316958e-12,1.4860165872494655e-11,1.1733103602424633e-12,4.234158510742614e-12,1.691032663455613e-11,4.187674808204375e-12,3.183453126745629e-11,4.303164026130869e-12,7.0251411884449965e-12,6.710610828134677e-13,9.110860076138332e-11,1.2707748505921466e-11,2.771106872068938e-12,3.55910782733424e-12,8.355944923767782e-12,7.461409515252017e-12,3.4747791215378935e-12,6.817812727771783e-13
