AREA,O,D
丹徒区,69309,68195
丹阳市,72786,73947
京口区,77986,77946
仪征市,38138,39803
六合区,67293,68050
兴化市,23647,23691
句容市,47086,45118
启东市,21852,21648
吴中区,379137,377259
吴江区,116700,125952
嘉定区,406731,404916
天宁区,148616,149318
太仓市,94159,93759
奉贤区,137193,137301
如东县,24787,24206
如皋市,42818,45381
姑苏区,554147,556057
姜堰区,39381,41067
宜兴市,49301,55437
宝山区,430765,430908
宝应县,14433,14158
崇川区,127350,126191
崇明区,37254,37100
常熟市,126837,126034
广陵区,116556,115962
建邺区,211731,210666
张家港市,82587,82560
徐汇区,526255,528750
惠山区,117081,116245
扬中市,16905,16854
新北区,142458,143116
新吴区,170323,168187
昆山市,265660,262297
普陀区,463728,464109
杨浦区,272858,271451
松江区,322118,313027
栖霞区,173364,173008
梁溪区,221102,220982
武进区,199439,199787
江宁区,250317,248493
江都区,78074,77819
江阴市,121828,120925
泰兴市,48224,47917
浦东新区,865935,858505
浦口区,131735,133289
海安市,26821,25343
海门市,50538,50644
海陵区,59018,59387
润州区,85970,85889
港闸区,77534,77889
溧水区,29608,29183
溧阳市,40073,38726
滨湖区,174079,173994
玄武区,196062,195978
相城区,218925,220240
秦淮区,260544,258813
虎丘区,370562,368259
虹口区,251578,251382
通州区,106467,106657
邗江区,146996,147239
金坛区,69271,67625
金山区,54858,58076
钟楼区,158264,157214
锡山区,118624,118529
长宁区,495614,497281
闵行区,823169,830317
雨花台区,207108,210901
青浦区,275988,276322
靖江市,41917,42326
静安区,601265,603467
高淳区,11177,10735
高港区,35619,35523
高邮市,39399,40217
黄浦区,441977,441724
鼓楼区,252030,249768
