OAREA,DAREA,F0
徐汇区,黄浦区,2.550982398244596e-07
长宁区,黄浦区,1.4285283704588955e-07
静安区,黄浦区,2.729738759302572e-07
普陀区,黄浦区,1.2702122166751947e-07
虹口区,黄浦区,1.5475842034966177e-07
杨浦区,黄浦区,1.313222617259992e-07
闵行区,黄浦区,1.0557088679519353e-07
宝山区,黄浦区,7.799064201070664e-08
嘉定区,黄浦区,4.831271616857906e-08
浦东新区,黄浦区,3.4905753946963355e-07
金山区,黄浦区,2.6988999292802052e-08
松江区,黄浦区,7.240283227287859e-08
青浦区,黄浦区,4.221128627944676e-08
奉贤区,黄浦区,3.438862137314772e-08
崇明区,黄浦区,2.9229485431007688e-08
玄武区,黄浦区,6.350651263457713e-10
秦淮区,黄浦区,2.6935784029846246e-10
建邺区,黄浦区,6.415282795018445e-11
鼓楼区,黄浦区,7.724941790434758e-10
浦口区,黄浦区,3.9525344509630646e-10
栖霞区,黄浦区,5.0927773756768e-10
雨花台区,黄浦区,1.3444889598748977e-09
江宁区,黄浦区,3.798463424499476e-10
六合区,黄浦区,6.728358281307369e-11
溧水区,黄浦区,7.646099260740624e-11
高淳区,黄浦区,2.0254603821419737e-10
锡山区,黄浦区,1.145058539142206e-09
惠山区,黄浦区,6.76753678386783e-10
滨湖区,黄浦区,6.762479540567465e-10
梁溪区,黄浦区,1.310588347673792e-09
新吴区,黄浦区,1.5418200713816088e-09
江阴市,黄浦区,1.1149442176445894e-09
宜兴市,黄浦区,5.510290831715586e-10
天宁区,黄浦区,8.530440589891042e-10
钟楼区,黄浦区,6.007809539948663e-10
新北区,黄浦区,7.310044025574125e-10
武进区,黄浦区,4.0864050906955524e-10
金坛区,黄浦区,1.634058313811035e-10
溧阳市,黄浦区,2.8246663203654383e-10
虎丘区,黄浦区,1.0630100496729146e-09
吴中区,黄浦区,9.9717023277352e-10
相城区,黄浦区,1.0961235552208698e-09
姑苏区,黄浦区,3.5705527205072904e-09
吴江区,黄浦区,3.0650335640186228e-09
常熟市,黄浦区,1.9097952994461318e-09
张家港市,黄浦区,7.949417584423994e-10
昆山市,黄浦区,1.7759083535520044e-08
太仓市,黄浦区,8.078420280847802e-09
崇川区,黄浦区,1.5287923670540025e-09
港闸区,黄浦区,1.7518949641087143e-10
通州区,黄浦区,6.16640414442808e-10
如东县,黄浦区,5.479946106717434e-10
启东市,黄浦区,4.9727777465570216e-09
如皋市,黄浦区,6.344594523200759e-10
海门市,黄浦区,1.6574203877763883e-09
海安市,黄浦区,7.596552560337331e-10
广陵区,黄浦区,7.769165273757109e-11
邗江区,黄浦区,7.700403647446475e-11
江都区,黄浦区,2.029740948822987e-10
宝应县,黄浦区,4.705585261110131e-10
仪征市,黄浦区,1.187192337888764e-10
高邮市,黄浦区,1.149195192324721e-10
京口区,黄浦区,5.8058037830381965e-11
润州区,黄浦区,1.211322847266766e-09
丹徒区,黄浦区,8.819077012544153e-10
