OAREA,DAREA,F
徐汇区,黄浦区,1.8820501362408327e-10
长宁区,黄浦区,1.0539320130535343e-10
静安区,黄浦区,2.0139320472703192e-10
普陀区,黄浦区,9.371303687133877e-11
虹口区,黄浦区,1.1417683881469487e-10
杨浦区,黄浦区,9.688623517862984e-11
闵行区,黄浦区,7.788752365076437e-11
宝山区,黄浦区,5.753951831371536e-11
嘉定区,黄浦区,3.5643897076596194e-11
浦东新区,黄浦区,2.5752580267381516e-10
金山区,黄浦区,1.9911799403623908e-11
松江区,黄浦区,5.3416973961545827e-11
青浦区,黄浦区,3.1142416799034403e-11
奉贤区,黄浦区,2.5371052965713728e-11
崇明区,黄浦区,2.156477327147861e-11
玄武区,黄浦区,4.685349488821753e-13
秦淮区,黄浦区,1.9872538531826054e-13
建邺区,黄浦区,4.733032994150144e-14
鼓楼区,黄浦区,5.699266196091653e-13
浦口区,黄浦区,2.91607970601856e-13
栖霞区,黄浦区,3.7573220263426244e-13
雨花台区,黄浦区,9.919298666459184e-13
江宁区,黄浦区,2.802410008984939e-13
六合区,黄浦区,4.9640121502702326e-14
溧水区,黄浦区,5.6410981766437234e-14
高淳区,黄浦区,1.4943333167582298e-13
锡山区,黄浦区,8.44795158555102e-13
惠山区,黄浦区,4.992917056134095e-13
滨湖区,黄浦区,4.989185950247591e-13
梁溪区,黄浦区,9.669188544744336e-13
新吴区,黄浦区,1.1375157576153435e-12
江阴市,黄浦区,8.225775756676659e-13
宜兴市,黄浦区,4.0653528686412213e-13
天宁区,黄浦区,6.293542787847724e-13
钟楼区,黄浦区,4.43240955756889e-13
新北区,黄浦区,5.393165144426497e-13
武进区,黄浦区,3.014846069879224e-13
金坛区,黄浦区,1.2055667942866958e-13
溧阳市,黄浦区,2.0839671950448853e-13
虎丘区,黄浦区,7.842618632684333e-13
吴中区,黄浦区,7.356869156518424e-13
相城区,黄浦区,8.08692168107395e-13
姑苏区,黄浦区,2.63426326998964e-12
吴江区,黄浦区,2.261304053181032e-12
常熟市,黄浦区,1.4089985512985333e-12
张家港市,黄浦区,5.864878745574912e-13
昆山市,黄浦区,1.3102201571652352e-11
太仓市,黄浦区,5.960053664283461e-12
崇川区,黄浦区,1.1279042476646873e-12
港闸区,黄浦区,1.292503687265463e-13
通州区,黄浦区,4.549416635772543e-13
如东县,黄浦区,4.0429652998927024e-13
启东市,黄浦区,3.6687893424287175e-12
如皋市,黄浦区,4.680880979421759e-13
海门市,黄浦区,1.22280274014019e-12
海安市,黄浦区,5.604543877284988e-13
广陵区,黄浦区,5.731893160852032e-14
邗江区,黄浦区,5.6811625763309e-14
江都区,黄浦区,1.497491410326705e-13
宝应县,黄浦区,3.4716615010199e-13
仪征市,黄浦区,8.75880407016977e-14
高邮市,黄浦区,8.478470763931438e-14
京口区,黄浦区,4.2833748317407575e-14
润州区,黄浦区,8.936832850351402e-13
丹徒区,黄浦区,6.506491422441269e-13
丹阳市,黄浦区,3.900980671886276e-13
扬中市,黄浦区,9.880013890213981e-14
句容市,黄浦区,6.384890257514362e-13
海陵区,黄浦区,2.264009418334303e-13
高港区,黄浦区,9.378232674362973e-14
姜堰区,黄浦区,1.2723519068642293e-13
兴化市,黄浦区,1.4126243059505848e-13
靖江市,黄浦区,4.781495855545026e-13
泰兴市,黄浦区,8.312291049140713e-13
黄浦区,徐汇区,1.9006994570222537e-10
长宁区,徐汇区,1.6601455994726946e-10
静安区,徐汇区,9.278375334874691e-11
普陀区,徐汇区,8.808299946543274e-11
虹口区,徐汇区,5.149153251066776e-11
杨浦区,徐汇区,5.386277678196152e-11
闵行区,徐汇区,2.342619800508028e-10
宝山区,徐汇区,5.4903829771934376e-11
嘉定区,徐汇区,4.851166648742955e-11
浦东新区,徐汇区,1.5490325649557271e-10
金山区,徐汇区,4.794515538886967e-11
松江区,徐汇区,1.3163602555903055e-10
青浦区,徐汇区,4.3671322767846337e-11
奉贤区,徐汇区,5.775814834927263e-11
崇明区,徐汇区,2.2397606992230444e-11
玄武区,徐汇区,4.056530757901297e-13
秦淮区,徐汇区,9.104187452290073e-14
建邺区,徐汇区,6.590052848882515e-14
鼓楼区,徐汇区,4.096876066391265e-13
浦口区,徐汇区,3.177557550567604e-13
栖霞区,徐汇区,3.380365943873195e-13
雨花台区,徐汇区,1.0375217079060131e-12
江宁区,徐汇区,3.5117496703797544e-13
六合区,徐汇区,1.0367486066505761e-13
高淳区,徐汇区,1.2483837163342077e-13
锡山区,徐汇区,1.0468652608027062e-12
惠山区,徐汇区,6.07794966451294e-13
滨湖区,徐汇区,4.248179241986537e-13
梁溪区,徐汇区,1.520889696244111e-12
新吴区,徐汇区,1.4418255457890418e-12
江阴市,徐汇区,9.048015226384148e-13
宜兴市,徐汇区,7.075508000581855e-13
天宁区,徐汇区,6.759900047220056e-13
钟楼区,徐汇区,4.320035226431182e-13
新北区,徐汇区,4.1137300923334084e-13
武进区,徐汇区,2.728524546860093e-13
金坛区,徐汇区,2.014289500291239e-13
溧阳市,徐汇区,3.1337474902604493e-13
虎丘区,徐汇区,6.853049241797795e-13
吴中区,徐汇区,6.109212966235413e-13
相城区,徐汇区,8.221814954314492e-13
姑苏区,徐汇区,2.538100950803159e-12
吴江区,徐汇区,3.060852877593543e-12
常熟市,徐汇区,2.046163479370329e-12
张家港市,徐汇区,1.064393478683629e-12
昆山市,徐汇区,1.7406028163369382e-11
太仓市,徐汇区,7.631655147883614e-12
崇川区,徐汇区,1.1833089580891114e-12
港闸区,徐汇区,2.339507859353016e-13
通州区,徐汇区,5.111200720422574e-13
如东县,徐汇区,9.00677600191548e-13
启东市,徐汇区,6.832284337035586e-12
如皋市,徐汇区,9.450286307780742e-13
海门市,徐汇区,1.6289483221547724e-12
海安市,徐汇区,1.4566540186014257e-12
广陵区,徐汇区,1.1971228248625075e-14
邗江区,徐汇区,1.139066488677306e-13
江都区,徐汇区,1.429739457178312e-13
宝应县,徐汇区,2.90026705413998e-13
仪征市,徐汇区,2.1951625356548495e-13
高邮市,徐汇区,2.8332058778075465e-13
京口区,徐汇区,7.156763930688813e-14
润州区,徐汇区,7.628238751668836e-13
丹徒区,徐汇区,7.44878497029672e-13
丹阳市,徐汇区,4.984238792269851e-13
扬中市,徐汇区,2.4761641166756773e-13
句容市,徐汇区,7.112017056858059e-13
海陵区,徐汇区,3.0734928728028186e-13
高港区,徐汇区,3.917343214988473e-13
姜堰区,徐汇区,3.1888134678450765e-13
兴化市,徐汇区,2.9503076071948746e-13
靖江市,徐汇区,6.990406774025246e-13
泰兴市,徐汇区,1.273100802688635e-12
黄浦区,长宁区,1.12368032408304e-10
徐汇区,长宁区,1.7886967469850288e-10
静安区,长宁区,1.2268622144057956e-10
普陀区,长宁区,1.9572838652308877e-10
虹口区,长宁区,4.990249055593568e-11
杨浦区,长宁区,5.226899035163448e-11
闵行区,长宁区,1.7646193318750884e-10
宝山区,长宁区,7.243726163168614e-11
嘉定区,长宁区,1.3269464731998803e-10
浦东新区,长宁区,1.0295465748152616e-10
金山区,长宁区,2.763966570307568e-11
松江区,长宁区,7.073156228947855e-11
青浦区,长宁区,1.2246287336500578e-10
奉贤区,长宁区,2.810581523668299e-11
崇明区,长宁区,1.6355870111687948e-10
玄武区,长宁区,3.0268327420517137e-13
秦淮区,长宁区,3.188811231504085e-13
建邺区,长宁区,1.6817005003673808e-13
鼓楼区,长宁区,2.82560114782594e-13
浦口区,长宁区,3.266018816391268e-13
栖霞区,长宁区,1.882719506873853e-13
雨花台区,长宁区,2.3352994962714944e-12
江宁区,长宁区,7.823578532572986e-13
六合区,长宁区,1.1023562649015185e-13
溧水区,长宁区,2.505432995609899e-13
锡山区,长宁区,1.775978240327512e-12
惠山区,长宁区,1.203813037594776e-12
滨湖区,长宁区,6.136319636083949e-13
梁溪区,长宁区,1.1407175170539425e-12
新吴区,长宁区,1.5679097742669189e-12
江阴市,长宁区,1.205618602171549e-12
宜兴市,长宁区,1.113442658347158e-12
天宁区,长宁区,6.389049696637165e-13
钟楼区,长宁区,3.655984361859548e-13
新北区,长宁区,9.893697388327365e-13
武进区,长宁区,5.281656114917613e-13
金坛区,长宁区,2.9984612373901073e-13
溧阳市,长宁区,3.3320577007269783e-13
虎丘区,长宁区,8.848165807404943e-13
吴中区,长宁区,9.900251156656575e-13
相城区,长宁区,1.3418120640891209e-12
姑苏区,长宁区,3.084248434959987e-12
吴江区,长宁区,3.852065230609668e-12
常熟市,长宁区,3.1114120951534268e-12
张家港市,长宁区,1.6167865189585792e-12
昆山市,长宁区,2.091450133267311e-11
太仓市,长宁区,1.863995104844851e-11
崇川区,长宁区,1.7824376286619137e-12
港闸区,长宁区,2.296206365228712e-13
通州区,长宁区,7.106847881193067e-13
如东县,长宁区,2.0949127402998557e-12
启东市,长宁区,1.1609854551452553e-11
如皋市,长宁区,7.969357667721104e-13
海门市,长宁区,3.786984430443748e-12
海安市,长宁区,1.3828876651507752e-12
广陵区,长宁区,1.1455913744571897e-13
邗江区,长宁区,1.8167235603857545e-13
江都区,长宁区,2.850405774035577e-13
宝应县,长宁区,8.223472335233744e-13
仪征市,长宁区,1.5560513951233497e-13
高邮市,长宁区,3.3890593223491e-13
京口区,长宁区,7.609659183342435e-14
润州区,长宁区,1.2252741815785202e-12
丹徒区,长宁区,5.565517792738215e-13
丹阳市,长宁区,9.376307438696513e-13
扬中市,长宁区,8.776203505947101e-14
句容市,长宁区,1.2288381027170274e-12
海陵区,长宁区,3.016606193392574e-13
高港区,长宁区,3.33219282445966e-13
姜堰区,长宁区,4.144076897357592e-13
兴化市,长宁区,3.7644112217541954e-13
靖江市,长宁区,7.07883294453495e-13
泰兴市,长宁区,5.845373019850448e-13
黄浦区,静安区,2.0699129402699851e-10
徐汇区,静安区,9.822203864499355e-11
长宁区,静安区,1.1731656784353656e-10
普陀区,静安区,2.334297519590398e-10
虹口区,静安区,2.9650159766949747e-10
杨浦区,静安区,1.4613835260960115e-10
闵行区,静安区,5.3630109289571975e-11
宝山区,静安区,2.6601355959717e-10
嘉定区,静安区,5.848122800583515e-11
浦东新区,静安区,1.1170180914026926e-10
金山区,静安区,1.3638972457607376e-11
松江区,静安区,3.5152804842807966e-11
青浦区,静安区,2.9604072711079084e-11
奉贤区,静安区,1.7528413402220946e-11
崇明区,静安区,4.2169690912563394e-11
玄武区,静安区,6.609713528528614e-13
秦淮区,静安区,1.7830877675083e-13
建邺区,静安区,4.6192954297042e-14
鼓楼区,静安区,7.130751397260489e-13
浦口区,静安区,2.784134931757031e-13
栖霞区,静安区,4.724828880418434e-13
雨花台区,静安区,9.858022311104526e-13
江宁区,静安区,3.5165140064958833e-13
六合区,静安区,1.2717400555011109e-13
溧水区,静安区,4.1291544541454176e-14
高淳区,静安区,1.093817706704281e-13
锡山区,静安区,5.771459640871073e-13
惠山区,静安区,6.682881359924838e-13
滨湖区,静安区,5.056573375099983e-13
梁溪区,静安区,1.2607018099275878e-12
新吴区,静安区,1.2776647254888697e-12
江阴市,静安区,7.526348935281965e-13
宜兴市,静安区,5.455532568758088e-13
天宁区,静安区,6.251989278377597e-13
钟楼区,静安区,5.716362770937785e-13
新北区,静安区,5.320776870977358e-13
武进区,静安区,3.064997444791076e-13
金坛区,静安区,2.117873368278284e-13
溧阳市,静安区,1.8304994147431562e-13
虎丘区,静安区,7.918092308116052e-13
吴中区,静安区,5.610780505102569e-13
相城区,静安区,7.650598467846175e-13
姑苏区,静安区,2.8746808088300348e-12
吴江区,静安区,1.466653017220844e-12
常熟市,静安区,1.927765637445501e-12
张家港市,静安区,1.0066243289291233e-12
昆山市,静安区,1.3534401525837179e-11
太仓市,静安区,9.12774897461435e-12
崇川区,静安区,1.430400059416748e-12
港闸区,静安区,1.576805080072452e-13
通州区,静安区,5.741497603874322e-13
如东县,静安区,9.864526169228828e-13
启东市,静安区,9.790774706529865e-12
如皋市,静安区,1.027889248171365e-12
海门市,静安区,1.4998362251883585e-12
海安市,静安区,1.3218836535818158e-12
广陵区,静安区,6.293421449518042e-14
邗江区,静安区,5.821872945851332e-14
江都区,静安区,2.9752082594569413e-13
宝应县,静安区,7.623529728435096e-13
仪征市,静安区,2.2439352759671786e-13
高邮市,静安区,3.723627657910226e-13
京口区,静安区,1.0973662395152497e-13
润州区,静安区,1.0949996965257634e-12
丹徒区,静安区,6.702921976910393e-13
丹阳市,静安区,8.230352332644377e-13
扬中市,静安区,2.1695830537415707e-13
句容市,静安区,9.087542322010393e-13
海陵区,静安区,1.6572029560925482e-13
高港区,静安区,1.0296976760577569e-13
姜堰区,静安区,1.8626648141744118e-13
兴化市,静安区,4.1360343410441065e-13
靖江市,静安区,9.041525293862781e-13
泰兴市,静安区,5.577372494449703e-13
黄浦区,普陀区,9.22697102527321e-11
徐汇区,普陀区,8.839774555359115e-11
长宁区,普陀区,2.0697687975566486e-10
静安区,普陀区,2.418916814528768e-10
虹口区,普陀区,7.815028254226596e-11
杨浦区,普陀区,6.459235101710289e-11
闵行区,普陀区,6.630197767335467e-11
宝山区,普陀区,2.1395333776342675e-10
嘉定区,普陀区,2.7161657598924177e-10
