DAREA,丹徒区,丹阳市,京口区,仪征市,六合区,兴化市,句容市,启东市,吴中区,吴江区,嘉定区,天宁区,太仓市,奉贤区,如东县,如皋市,姑苏区,姜堰区,宜兴市,宝山区,宝应县,崇川区,崇明区,常熟市,广陵区,建邺区,张家港市,徐汇区,惠山区,扬中市,新北区,新吴区,昆山市,普陀区,杨浦区,松江区,栖霞区,梁溪区,武进区,江宁区,江都区,江阴市,泰兴市,浦东新区,浦口区,海安市,海门市,海陵区,润州区,港闸区,溧水区,溧阳市,滨湖区,玄武区,相城区,秦淮区,虎丘区,虹口区,通州区,邗江区,金坛区,金山区,钟楼区,锡山区,长宁区,闵行区,雨花台区,青浦区,靖江市,静安区,高淳区,高港区,高邮市,黄浦区,鼓楼区
丹徒区,,1.3458969046395154e-09,2.091694653628824e-09,3.211143436477581e-10,5.0802886118399144e-11,3.019528109746555e-11,1.1474345760903544e-09,6.436108446805355e-12,2.653737564217588e-12,6.30389904489629e-12,3.6440513270259915e-12,2.030999553651216e-11,4.710784224199504e-12,8.674249805162164e-13,3.491702332291818e-12,5.5586265286543645e-12,5.544527558072793e-12,1.2636950504950978e-11,2.984381730753522e-11,7.534458380194303e-13,3.8977854023305096e-11,2.4636002607037707e-12,5.808022340588749e-13,1.0235439072650406e-11,1.5872037042814676e-10,5.671653922823902e-12,9.955729645705915e-12,5.345007335971748e-13,1.4507227514019373e-11,4.569347941238491e-10,5.2020547820852775e-11,1.473621264071794e-11,6.841546864115273e-12,1.283129715608733e-12,2.775444461833725e-13,9.739893244110084e-13,5.984541474613103e-11,8.807467044561512e-12,2.7448057933454437e-11,3.310622155819234e-11,1.1958468342242044e-10,2.0335720326719293e-11,1.817159215989938e-11,1.0494582964777168e-12,2.044887235920485e-11,1.0890805218783635e-11,6.207991871475428e-12,1.7964402639090394e-11,2.735670760324729e-09,1.1162693232713043e-12,2.9596962318258165e-11,7.586223899088964e-11,6.090471078957468e-12,2.251323617649714e-11,8.005544002000573e-12,7.681779640121103e-12,4.233292852486564e-12,3.0102084640430656e-13,2.032292299738823e-12,1.4079286475841146e-10,2.0115720776938814e-10,7.888441586506734e-13,1.585904530155311e-11,8.937677999003885e-12,1.091434383796126e-12,2.1553908457019213e-12,1.3738207337395254e-11,1.999176645015536e-12,7.226683445542633e-12,1.4214525274069809e-12,2.4198360950645663e-11,3.705521188369659e-11,6.919688342042425e-11,7.098547960654631e-13,1.759960051447848e-11
丹阳市,1.161393587151431e-09,,7.876906224005528e-10,8.763751603484321e-11,2.994916002132105e-11,4.725471391620498e-11,6.329167528317871e-10,4.10917355545606e-12,5.4735656653680375e-12,1.0002721396227383e-11,1.0278030815254367e-11,1.232566261297604e-10,7.841028802938659e-12,2.181687125286417e-12,3.2200987267994717e-12,6.291302293462504e-12,1.7950367271625348e-11,2.1534527776720286e-11,8.398380272101246e-11,9.72774209815531e-13,2.1429313044555306e-11,3.917186255456346e-12,5.356242761930163e-13,1.8406578316102334e-11,3.6807556529379395e-11,5.136238905963497e-12,2.1382808317272385e-11,9.858487167203358e-13,1.2458452951418567e-10,9.000317612414761e-10,9.09827180248784e-10,6.824263606461912e-11,1.6111437496972437e-11,3.765111970192182e-12,4.3878090696174483e-13,1.951321018188306e-12,2.975327602038867e-11,2.8969801802243197e-11,2.461764156720472e-10,4.376381382457744e-11,2.8752741160253678e-11,7.411474718739386e-11,5.937748970823199e-11,2.062390522711138e-12,1.0603030895135111e-11,9.671671757534402e-12,3.1586761304831414e-12,1.9609958208463323e-11,3.7566344738861644e-10,9.007598440494647e-13,5.3915554675208404e-11,1.3867766026263455e-10,1.2608965736145136e-11,1.2569172649385838e-11,1.7408893621063258e-11,6.126918074580762e-12,8.050326111154265e-12,7.138435040728985e-13,1.9679200244732507e-12,1.6092710695506532e-10,1.1978940596591315e-09,2.72806337981169e-12,3.334222638990019e-10,1.993328832325173e-11,1.670850887161636e-12,4.508759807603057e-12,1.088716315515718e-11,3.759640393188547e-12,2.070771727843873e-11,6.322112483844273e-12,1.7852864619571107e-11,4.789801931953987e-11,1.2383027206285784e-10,2.505685016604601e-12,1.0252993725729692e-11
京口区,2.0129720465476204e-09,8.188714572670464e-10,,3.1022871355583286e-11,5.766919112315237e-12,1.481001730691985e-11,1.734797912035374e-10,4.331503817533353e-13,7.98883961592681e-13,7.299641754812764e-13,5.817851443628518e-13,5.2224967409300374e-12,1.5078540780075007e-12,4.829431165913508e-13,3.054892368442775e-12,5.305358760562688e-12,1.1102435621501197e-12,1.0815725766062942e-11,8.255485529891421e-12,1.31838038959626e-13,1.4427662102516833e-11,2.824324157038143e-12,2.5407210345396156e-13,3.0596220962734e-12,9.549982599848045e-11,2.1904912599554165e-12,4.584354507161603e-12,1.0791576869092607e-13,4.203846152559698e-12,2.4871001428625963e-09,2.558019082605712e-11,3.1676081451020203e-12,1.247015263767921e-12,1.6328886143728882e-13,2.428237947742679e-13,3.2322696515814923e-13,9.063147802221134e-12,1.797986856596065e-12,1.0156254586133157e-11,1.0738852768085999e-11,6.93456928717148e-11,8.623940619317407e-12,2.2964263657569764e-11,2.841959912625324e-13,2.6584619065300314e-12,8.116761092714639e-12,5.618664455700986e-13,1.732084840801077e-11,4.915365239419431e-09,1.098702753355495e-12,1.0229886130314924e-11,1.1101352548535736e-11,1.848682913105613e-12,3.089700896108009e-12,1.7293963032223608e-12,2.3613598441522445e-12,1.1494273465528704e-12,7.524666021729948e-14,1.5113456415157372e-12,8.82155088209286e-11,2.3638751722636914e-11,3.450801028865027e-13,9.210187597175466e-12,2.393748855730851e-12,2.482731073919633e-13,3.5645325128168144e-13,4.707282290561495e-12,4.4584412310303525e-13,4.5161639153917906e-12,4.092958274536535e-13,7.621617543049562e-12,5.314692799951646e-11,3.843834469737357e-11,2.1415598870696627e-13,3.530250372395925e-12
仪征市,3.2011972671448334e-10,1.5432372264325714e-10,3.73156427751186e-11,,8.343289306065896e-10,5.408551373715348e-11,1.692717862650523e-10,1.6116485025419288e-11,1.808895484480767e-12,5.400276302875442e-12,1.4583125850817465e-12,4.614706406440656e-12,3.7402418332338104e-12,6.755320698337423e-13,1.0469163655091852e-11,2.1211804809091175e-11,2.575571783936734e-12,3.577130400705542e-11,3.120543808160545e-11,3.0120733987065073e-13,1.412680639955251e-10,6.404152234463804e-12,9.95096056871215e-13,9.060530945883991e-12,4.156988933474303e-10,8.57925441542019e-12,8.753078763028864e-12,1.408872447869578e-13,6.807536088755865e-12,2.1929197576267524e-11,1.6784591938837242e-11,9.794384097395016e-12,3.418832561603802e-12,6.395353914825976e-13,1.3586300750822863e-13,5.754305643068727e-13,2.554260285090997e-10,3.60482100029681e-12,1.0780919946226436e-11,2.9027099503930328e-11,4.940530329820273e-10,1.3693148394626943e-11,5.112064564176004e-11,5.137287464211089e-13,5.754797577559578e-11,3.386328094834891e-11,4.034433431571122e-12,5.74744099765367e-11,1.5006182806714816e-10,7.171945566334816e-12,1.6276918756243017e-11,1.3367614300494838e-10,1.3842192640549498e-12,2.4769416887775868e-11,2.6246672686607002e-12,9.106192213873802e-12,1.3005300342043793e-12,1.4735512844000766e-13,8.182589439103063e-12,2.579552362102812e-09,4.7361966804105636e-11,1.3515370047278518e-12,6.324403083280889e-12,3.1251103067406467e-12,3.3659438244694684e-13,6.530056079478985e-13,1.4498599709895803e-11,8.73094139119895e-13,2.6531938237001868e-11,2.1579433321311046e-13,8.291873602639403e-12,6.088524516148107e-11,7.574406290681895e-10,1.6775220657491338e-13,2.17694467261702e-11
六合区,9.651418065922865e-11,1.1394864861700692e-10,1.0009478429144856e-11,8.508331439743845e-10,,3.255201629936946e-11,1.515059511620998e-10,4.961401859830342e-12,8.578684230846313e-13,2.7870579290748747e-12,7.46356559089018e-13,3.50163815818526e-12,2.9936919354138516e-12,5.531739039798592e-13,6.123499205931241e-12,1.8483834838605076e-11,1.0760521015643313e-12,1.376508385274785e-11,3.3206019288843854e-11,4.2786238633529064e-13,3.830973619823768e-11,4.001239114038157e-12,1.455099498590925e-12,3.760991155108174e-12,2.418434391594022e-11,1.1997297736859156e-10,4.988471588456391e-12,1.2360914777932288e-13,3.1483868578116254e-12,1.1543909860622463e-11,1.1796154504034141e-11,6.047082647027236e-12,1.836461983304061e-12,3.740694663803355e-13,1.192010717380608e-13,6.058332542541018e-13,7.886534433011527e-10,1.47103897894654e-12,6.468930279173332e-12,1.6865576812573784e-10,4.318665384142599e-11,7.742259701684424e-12,2.7652695905035987e-11,3.6308499480785117e-13,2.1071829311145003e-09,1.899846393396068e-11,4.290496396415079e-12,1.910488589560018e-11,3.039245013293479e-11,6.012732218076641e-12,1.0875343276135082e-10,8.143483788522148e-11,7.473610494615385e-13,1.7490465186212676e-10,1.881844938110531e-12,1.1488965550948625e-10,1.0240066089980738e-12,4.3094608209387394e-14,4.073245360196591e-12,9.145590782528481e-11,1.3146902006676762e-11,7.905250168873281e-13,3.1511660632149958e-12,2.5590635085213394e-12,2.8437759924722957e-13,5.795077743943899e-13,8.742088390911559e-11,1.0606428333504865e-12,9.828539806661927e-12,4.1472241509871533e-13,7.274976745169497e-11,2.1915247052845134e-11,4.4853671948234875e-11,2.9435890132114374e-13,2.454998494178705e-10
兴化市,1.7972591042302026e-11,3.8078732797870157e-11,1.5972896578243676e-11,6.532394528034566e-11,1.8511023621341168e-11,,2.0502660923139707e-11,1.1400899803687637e-11,4.764004444828179e-12,1.4676826733140557e-11,5.895542635453171e-12,8.591294815932902e-12,1.1906414482904662e-11,2.4968995207590803e-12,7.161289366946579e-11,2.7273773133179486e-10,5.900715099867259e-12,5.846999275666843e-09,2.147650079447221e-11,1.3735786297904492e-12,9.321106475126338e-10,1.9073745657434445e-11,6.6874016886826176e-12,2.209718144736591e-11,6.706245076407021e-11,3.3828576340581865e-12,3.9970033156064694e-11,7.692853304558553e-13,1.542701508527277e-11,1.17897645671781e-10,2.0548557711709004e-11,1.9929368327831435e-11,1.125344255861698e-11,1.8803342019149974e-12,6.847860311320785e-13,2.80364703804013e-12,6.107455790523261e-12,1.7465030478728485e-11,1.0774058680349991e-11,6.842466471544094e-12,6.772852059300943e-10,5.674742944690513e-11,9.893179033406582e-10,1.5104429641698935e-12,6.382677807506472e-12,8.847495266431102e-10,1.2940217541042945e-11,2.195074053768253e-09,1.0142649980058601e-11,3.454192963067118e-11,4.2071815473889195e-12,9.325448400800374e-12,8.407982681698085e-12,1.2071479398591931e-11,6.543390016825615e-12,2.9881284748231373e-12,5.46251708997477e-12,6.189245048011508e-13,2.193747204329002e-11,5.148030251671328e-11,1.3936398958105933e-11,1.1353515554257455e-12,1.3380338746250245e-11,1.5226348405034574e-11,1.005348769446312e-12,1.286264382730976e-12,6.01455430283191e-12,3.0465892030518176e-12,3.944978695782939e-10,1.1912481679738117e-12,1.950352551636481e-11,3.680787175271158e-10,2.228970101648246e-09,7.045967960724829e-13,8.649403035210468e-12
句容市,1.1503975568356158e-09,5.284006593686498e-10,1.9395410416714674e-10,1.616431564284277e-10,2.493166927773486e-10,6.915089974308657e-12,,3.741559871464324e-12,1.552673776078084e-12,3.6431443429172214e-12,3.618337902943939e-12,1.1333017077646494e-11,5.7309416800749105e-12,2.383811602960454e-13,1.3194104379108147e-12,1.5275924389039825e-12,3.89513784359871e-12,5.3979704022046125e-12,5.472705803677141e-11,5.314489006104664e-13,1.019670334374206e-11,2.5680586199054074e-12,1.7557430893055975e-12,6.317190960446372e-12,1.3327934725913122e-11,4.270852465639405e-11,8.711939936538414e-12,5.903794775968037e-13,1.3547501186682938e-11,6.964520289156067e-11,2.307188621005338e-11,7.68051913705028e-12,5.416645212217857e-12,1.1989180099463937e-12,4.195031585503587e-13,1.1168158617942773e-12,6.060215945060183e-10,5.768671628729362e-12,3.935546390564978e-11,8.231028140490689e-10,1.4451620451047596e-11,9.798275176019312e-12,1.0511685283876868e-11,1.1330259150338777e-12,8.341458315732677e-11,4.267730242561194e-12,9.706822546745626e-13,1.0528657425961773e-11,4.378569818505777e-10,6.327074546230435e-13,1.2995312924232909e-09,2.9625019909644445e-10,4.790685702322692e-12,1.3803157903632478e-10,5.6019572669570686e-12,7.751036246805103e-11,3.0448233091765755e-12,1.9499455352512162e-13,7.67942802100542e-13,4.249440301898429e-11,3.911514439743097e-10,8.942422214944592e-13,1.7151410311461324e-11,4.686841203436246e-12,1.3197458717669544e-12,2.1255369420623253e-12,7.090116127575188e-11,1.8367302604811734e-12,4.681283468448891e-12,1.3054168072112777e-12,1.9750695986431395e-10,1.3313436216771463e-11,2.0336900678954708e-11,7.02955475019528e-13,5.90422690498964e-11
启东市,1.4751547061501431e-12,4.682287689416475e-13,4.370079139356648e-13,1.787220052241164e-12,1.519348186714224e-12,2.738315576384101e-11,2.171377851772507e-12,,3.3259177276786757e-12,1.460175628799775e-11,6.7033000535856385e-12,1.3759150768229569e-12,2.4612346605005357e-11,1.4159530391803118e-11,7.548389901047536e-10,1.154110976819814e-10,6.580588565582748e-12,7.7886415425124e-12,5.530191951674288e-12,1.3607990106680259e-11,7.0838701260001586e-12,5.526205794960789e-10,2.7499323703123796e-09,4.5678192167520114e-11,3.2163551506405022e-12,1.1267291716059872e-12,1.279251546201932e-11,9.195980813519149e-12,2.6197631775068613e-12,2.0160011343500006e-12,1.4353914491086534e-12,3.2014935552978054e-12,1.231547060496096e-11,8.3781374126326e-12,1.59874509618626e-11,8.569904299887394e-12,1.3760843902615728e-12,3.0827852462833225e-12,2.5632272907646014e-12,2.0422403897569936e-12,3.9286381200614905e-12,5.874597651606543e-12,2.826849633061277e-11,4.34106377399389e-11,1.0348198785800815e-12,1.2833713943532538e-10,6.282281260147925e-09,4.0422158364110496e-12,1.189269483872982e-12,1.204382177402839e-10,4.60422847557238e-12,1.7009207783887785e-12,2.545088662563709e-12,1.738251123429668e-12,6.8495693216956375e-12,1.1772464251169891e-12,1.6554557271694391e-12,8.128015766765001e-12,7.775323104713915e-10,2.0866179527720538e-12,1.4759639319276503e-12,8.697491495618042e-12,6.460186620365987e-13,2.585686645077563e-12,2.3448591482645135e-11,7.162473753846791e-12,3.126530526814746e-12,5.556844728496906e-12,1.1382660697726807e-11,1.0089276530916056e-11,,1.2438487585008782e-11,8.650092432850264e-13,6.400064780799681e-12,1.7579117140436764e-12
吴中区,2.7087299985411227e-12,3.680923835976566e-12,7.272194230104487e-13,7.6916136575105e-13,5.521636694983207e-13,3.721521905571136e-12,3.198033760721578e-12,2.4163324684525164e-12,,8.643263616922163e-10,3.673416744990071e-12,1.934353679527997e-12,3.144475062880058e-11,1.981376303074201e-12,3.3136714111283305e-12,2.1009492949734894e-12,5.299131706220254e-10,1.8870394256900787e-12,1.614443304053943e-11,1.298403690142866e-12,2.7099264340528463e-12,4.8525749345772965e-12,8.399069785297629e-13,3.976394807757355e-11,2.1811866694760525e-13,2.4014470573269926e-13,2.5810648989990164e-11,7.543691508113937e-13,8.368264910431689e-12,1.272511240607903e-12,2.0316972360124877e-12,2.021948898274097e-11,1.6529193632315042e-10,1.0669432469399343e-12,4.873672458096449e-13,3.235909241751619e-12,8.798726152400178e-13,5.085800157403307e-12,2.8730398490883488e-12,8.593824040107784e-13,1.5279442974509877e-12,7.801413039787562e-12,5.0691004767704785e-12,1.858654462937145e-12,6.9771940124727e-13,3.1352892016991227e-12,2.437847954043628e-12,1.4911184469321332e-12,1.5240948417586814e-12,7.819043354549144e-13,1.3870571005748096e-12,2.1472615000101418e-12,1.2750687312297053e-11,8.278826499991922e-13,1.4065624072956349e-10,3.302598029120087e-13,6.155974460510665e-10,5.20818328892009e-13,1.5980426025780623e-12,4.789399902094785e-13,2.202050440566333e-12,2.816250218374798e-12,1.7670059697227152e-12,1.3831634803594757e-11,1.13245889743939e-12,2.0383670871390623e-12,1.0103480792212918e-12,1.2301091213128956e-11,5.6451995072939994e-12,1.0505596480692513e-12,6.998723847666588e-13,1.5922101665653964e-12,2.2832672634375206e-12,8.229953696028707e-13,8.613008119505624e-13
吴江区,4.8173020872715605e-12,9.65721835942148e-12,1.727546909776925e-12,3.839730580986876e-12,3.220701624961923e-12,1.6596534373314823e-11,8.334924358105925e-12,9.113944584515897e-12,7.975797907561332e-10,,7.762473831583837e-12,4.217323034949531e-12,4.329782297976127e-11,9.777373096752208e-12,2.1741150329747572e-11,1.4227402559071845e-11,3.0679687905990223e-10,8.329519427409094e-12,4.419833098877184e-11,6.078350958806944e-12,1.4204635408906566e-11,3.2979104952221355e-11,4.4025447545337085e-12,1.1624008332188691e-10,8.543443368888833e-13,2.2132180156546177e-13,5.6173586040883215e-11,4.1183584849277e-12,3.2819810918210957e-11,9.35550526409297e-12,4.934158106310996e-12,4.188829165417969e-11,1.6325214647630868e-10,2.8168271756013936e-12,1.975012252612909e-12,1.3674816429141303e-11,1.6218137456654252e-12,1.0941479198332136e-11,7.636281303736208e-12,1.7316496638147842e-12,8.327894348255348e-12,3.630099218496454e-11,3.1581210744356455e-11,7.495025679600738e-12,1.1560878331011847e-12,3.516167604269203e-11,1.529940490442315e-11,3.275277563877703e-12,1.6352455403253503e-12,3.701881806684136e-12,3.363245019265762e-12,5.70074229631864e-12,1.1743504057189999e-11,6.274000148628958e-13,1.2056312251390837e-10,2.6978563908931e-13,1.774211683153191e-10,1.0710354109330966e-12,1.6120231040611456e-11,1.4743984492677533e-12,3.3824173440008655e-12,2.4665542288354288e-11,3.071953325205285e-12,3.125718074596366e-11,3.770212037784172e-12,6.945115446287857e-12,7.353517521949157e-13,8.941696362942087e-11,2.4454935092772438e-11,2.3283627106546973e-12,2.6203747856791174e-12,4.769083581271396e-12,9.812448603514519e-12,2.716894970011913e-12,4.1834918194789417e-13
